"Year","Month","Day","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48"
2023,7,1,22.633,25.2376,32.2156,26.4994,18.6612,32.931,35.0844,32.7708,29.3122,24.484,19.4004,7.3482,11.6528,10.391,6.6038,20.1864,27.4412,29.9668,33.517,33.8128,33.9566,33.7612,34.0508,35.118,35.549,34.1756,30.159,26.3944,29.5278,29.595,26.441,18.421,23.1002,27.2564,24.8168,26.6266,19.761,15.1918,20.2034,23.5982,26.6432,19.9648,25.1194,26.2736,15.8718,10.2032,14.2364,14.573
2023,7,2,14.9114,15.3788,14.7232,13.6208,19.561,25.7066,12.7156,6.7222,2.184,0.9784,-3.181,-3.3408,-3.4612,-3.5518,-0.681,4.877,11.95,8.2766,16.8638,23.6304,19.2062,27.561,36.3758,36.585,37.5898,30.2924,33.119,21.856,23.926,26.088,20.7502,13.9018,6.3236,8.502,2.4572,5.6868,6.1788,3.588,8.0322,8.347,11.474,7.996,8.98,15.4686,4.043,6.427,15.1166,21.4172
2023,7,3,13.458,14.2146,8.0232,5.955,4.674,1.2218,-1.4162,-1.634,-1.8342,-1.3914,0.2488,3.1496,6.069,6.5968,-1.8636,-1.4598,-1.387,2.1192,8.1546,9.2894,13.7604,17.531,16.294,24.3386,21.298,22.423,20.8162,20.7836,9.6582,7.2718,3.5216,-0.5802,-2.1304,-0.935,10.1314,22.4632,26.324,12.2934,4.4704,4.4576,3.801,7.488,3.1866,5.3248,3.2216,0.9098,6.6194,16.8272
2023,7,4,18.153,16.316,13.2246,18.6146,8.5234,5.6836,-0.3748,-1.0214,-0.9186,0.7326,5.7194,12.6128,20.5942,22.5378,8.4452,6.0784,3.3862,2.6622,9.2048,14.2602,19.073,22.6666,26.2166,15.0566,18.7064,5.777,2.5522,5.5378,6.0618,3.88,3.0388,4.408,1.362,0.914,0.949,-0.768,-0.9086,-1.8098,0.0892,-2.695,-1.6148,2.1176,-0.6052,-3.3472,1.1374,2.3686,4.3432,-0.1018
2023,7,5,-1.7068,-2.7922,-2.7266,-2.4318,-2.5562,-2.711,-2.7364,-2.4822,-1.8592,2.3348,4.482,1.3206,3.4144,10.288,-3.598,2.0578,6.4048,12.4834,15.9284,10.1226,17.1274,16.5482,7.6706,5.7176,5.849,4.0018,5.1662,5.2208,7.8114,8.3272,7.1772,10.3088,4.4104,-1.0148,0.597,-3.0986,-0.4388,-2.7286,-2.5436,0.8148,3.206,2.976,-1.5156,-1.8452,3.663,6.6418,6.6668,12.826
2023,7,6,16.2812,21.1296,21.845,15.6994,8.6788,3.7122,4.4786,4.0322,0.7112,-0.8236,-2.9378,-1.3298,8.3334,4.6968,-1.8806,3.5462,13.9596,18.8312,31.1828,35.966,34.2684,21.8678,23.8648,28.047,35.3326,29.9188,26.4888,21.2812,21.3416,17.5752,10.7222,23.3228,21.9862,21.4738,11.4584,11.8804,10.9714,3.8114,4.5644,2.613,6.1254,10.7692,9.0814,5.966,7.2372,11.0484,17.8502,27.783
2023,7,7,28.4688,25.2232,23.0324,16.6784,9.1072,4.762,-0.9682,-0.5268,-1.771,-3.2864,-3.292,-2.1004,-0.9866,-0.756,-4.022,-3.1842,0.4472,1.157,6.282,24.188,31.5618,18.186,11.4454,13.6608,13.3172,12.3498,14.338,17.075,10.958,0.2986,-2.1532,-2.9816,-2.6086,-3.2274,-3.4176,-2.9844,-2.5674,-3.3386,-3.7766,-1.7054,0.2472,4.2642,0.0308,-1.8074,1.1146,1.4906,1.4954,7.4778
2023,7,8,8.6022,9.5418,9.9448,5.6132,2.687,1.5444,2.3074,0.0528,1.4736,5.6516,3.6954,7.4422,11.7768,8.5008,10.0086,17.7216,23.0564,23.6678,28.308,31.7074,38.6344,33.3258,31.1278,36.1626,34.438,32.0268,34.337,33.5252,31.8998,20.0686,15.265,9.2298,7.4418,11.6988,13.9264,10.4872,10.7214,7.3958,3.8654,0.5038,-1.1018,8.762,5.3664,0.7742,0.2252,-0.5496,2.6848,9.274
2023,7,9,7.6018,6.5474,7.7348,11.3398,14.3338,10.3098,8.9902,12.7688,15.277,15.363,14.1828,10.5998,23.9936,22.8534,16.143,17.7096,20.47,25.6988,21.1834,21.0068,21.2634,22.2766,26.9278,31.2476,30.8428,23.8642,24.9778,22.4446,17.576,13.2568,10.7092,5.541,1.3102,-0.5012,-1.0008,-0.6776,-1.4748,-2.1764,-1.8624,-1.28,0.4002,-3.0342,-3.5314,-0.7612,-1.7868,-0.9148,2.6588,7.6316
2023,7,10,7.1796,4.2182,14.5008,18.6736,18.9978,7.8068,1.947,-0.1948,-0.5742,0.7102,0.5844,1.9646,-3.0834,-3.7966,-0.4174,-4.2728,-4.2962,-3.065,-1.8786,-0.756,-2.8682,-3.526,-3.4856,-3.436,-3.216,-2.7522,-2.9924,-2.414,-3.1416,-3.2212,-3.2814,-3.1418,-3.5966,-3.593,-0.7448,1.2928,9.7878,9.0268,15.4382,12.7958,1.0882,-3.4396,-3.0636,-3.6116,-3.1972,-3.391,-2.7276,4.8598
2023,7,11,12.2154,15.0666,22.425,36.4756,20.3344,14.4772,12.8778,10.5876,8.3868,7.9762,3.5712,-1.343,-2.559,-3.5066,-2.169,-4.1412,-4.1658,-3.8762,-3.5564,-1.3792,-0.997,-1.25,-3.2466,-3.3712,-2.8076,-3.1912,-3.0914,-3.0812,-1.6732,-3.2514,-2.2512,-0.4664,0.6568,-3.2882,-2.4018,0.383,0.992,2.7596,11.3088,13.7908,16.1048,4.337,-2.161,-2.7386,-2.1206,-1.6322,2.778,13.7638
2023,7,12,21.5396,22.5762,16.618,19.1632,22.7928,18.4352,14.958,13.4308,4.6886,0.0178,-1.7708,-1.244,6.7906,8.4548,3.5746,3.438,6.5498,12.5008,18.174,26.6204,18.935,18.057,11.3388,4.5176,2.6154,2.0412,2.102,2.68,-0.4334,-0.9586,0.2812,-1.5978,-3.1328,-0.5838,1.0232,8.1872,9.9268,4.8488,10.6136,14.7166,23.2738,17.8934,14.5266,10.9838,8.5144,7.4098,5.5588,17.544
2023,7,13,19.3148,20.0626,28.5874,37.353,34.6964,22.0002,18.0352,14.2918,10.8014,18.542,23.6206,11.4018,1.7902,-1.7698,-4.3364,3.4174,17.9368,26.2174,12.5088,5.2874,-2.3702,-2.6496,-2.509,-3.1274,-3.5966,-3.3878,-3.2788,-3.5766,-4.021,-4.0906,-4.1008,-3.8922,-2.9162,-0.7568,-4.3548,0.202,0.0578,-1.9594,0.8632,0.1704,4.6174,11.6238,12.825,2.0208,-0.966,-0.3676,3.82,14.413
2023,7,14,17.2244,21.6312,18.4094,9.2896,5.9268,5.5556,3.9072,2.8192,0.4816,5.4696,3.1236,4.9738,2.4596,11.5574,13.0174,13.9274,13.2764,12.1062,9.6574,1.4414,-0.742,-2.3816,-3.7666,-3.9962,-2.671,-1.4328,-2.5758,-1.7878,-1.266,-0.7136,-1.0222,-0.8172,-1.916,-4.3822,-3.3868,1.6146,2.328,1.4002,8.2132,13.012,19.4602,15.6252,7.9804,3.7828,7.2872,8.2124,3.535,4.7538
2023,7,15,15.829,15.225,17.147,16.0508,8.903,3.7912,4.864,5.5142,2.7864,1.0668,1.2418,0.5374,5.6524,10.499,9.1422,7.9898,6.9272,3.7334,1.4988,-0.8342,-3.182,-1.235,-1.9478,-2.5048,-2.8286,-0.8656,1.2008,2.0136,1.4386,1.8336,3.4346,3.3176,2.958,0.175,-4.5364,-2.6724,-2.5334,-3.305,-2.5026,0.2854,-1.8236,-2.7864,-3.0486,-1.1098,-3.4862,-3.446,-2.4136,0.3918
2023,7,16,0.7854,0.3948,0.4798,-0.778,-0.4336,-0.8036,-0.8666,-2.2276,-2.8814,-2.8118,-2.8912,-2.8164,0.6828,5.1788,4.7108,4.99,6.4794,9.3348,5.1338,4.1236,-1.0936,-2.8322,-2.8364,-2.7068,-2.3528,-2.547,-2.7758,-2.8258,-2.8562,-2.7118,-2.7816,-3.1364,-3.3408,-3.596,-3.1748,-4.2908,-4.2862,-4.1612,-4.1058,-3.9908,-3.9064,-1.1064,-3.0676,-2.8782,-3.2412,-3.1112,-3.0064,-2.5772
2023,7,17,0.4182,1.2462,3.3104,4.3322,0.1716,-2.2286,-2.9404,-2.6696,-2.8168,-3.0578,-2.9132,-2.7864,-1.6536,1.6276,-2.839,-3.7972,-3.1178,-2.3782,-1.8706,-2.1862,-3.2238,-2.4628,-0.6406,0.5894,-0.1358,-0.232,0.412,1.1758,0.2864,-0.5674,1.7892,5.2524,2.0732,-1.2536,-4.159,-4.7362,-4.706,-4.5614,-2.7324,-4.1188,-3.8254,-2.494,-2.6386,-3.4956,-3.2098,-3.062,-2.7994,0.8776
2023,7,18,8.6746,5.8702,6.1856,10.9078,15.0016,18.4246,16.9604,18.7722,17.6564,11.6868,3.2206,1.6846,-2.644,-3.1912,-3.7876,-3.479,1.0454,2.9966,3.5062,-0.9278,0.877,1.453,0.473,3.1882,2.4432,1.9836,0.1086,-1.2014,-1.4616,-1.3318,-2.8212,-3.3756,-3.8706,-3.9462,-2.333,-4.2508,-3.4866,-3.0062,-0.6196,-1.1132,-4.192,-4.2264,-3.8012,-3.851,-3.511,-3.4762,-2.7608,3.049
2023,7,19,1.6136,2.2082,5.718,13.8338,13.169,10.3978,8.6304,8.5292,7.9366,6.6058,1.1438,-0.0924,-2.882,-3.582,-3.5358,-0.9062,4.9752,1.6384,1.7736,2.2906,6.794,5.1892,6.4526,7.4486,8.3096,3.7322,0.7668,2.4214,2.257,0.5542,4.0968,-3.257,-3.451,-0.833,5.2838,7.234,6.1188,4.714,6.3842,4.7688,-2.5864,-3.622,-3.7518,-2.6728,-1.9328,-3.3712,-3.044,-0.4276
2023,7,20,4.0184,2.2586,0.4538,-0.6626,-0.9962,-2.0998,-2.1268,-2.5288,-2.2598,-1.3988,-2.3616,-2.7792,-3.031,-3.4288,-2.8098,-3.6352,-3.7198,-3.579,-2.7834,-0.5888,-1.2886,-1.3376,-1.9212,-1.8632,-2.0866,-2.6138,-3.01,-3.1498,-2.343,-2.0572,0.1156,0.9258,2.1574,0.3444,-1.1336,-2.6714,-4.0262,-2.0014,-2.777,-3.0582,-3.7786,-3.8446,-3.3302,-3.1416,-3.2318,-2.6372,-2.6338,-2.4962
2023,7,21,-0.7198,2.23,8.2204,12.8716,11.8602,7.3906,2.577,1.6548,0.554,-0.5102,-1.2518,-1.349,0.759,3.6316,3.4064,1.0544,-0.853,-2.4414,-2.9348,-2.8758,-2.9276,-2.777,-2.5984,-1.6852,-0.9438,-1.965,-2.0196,2.3144,6.6044,6.945,9.7364,12.798,10.005,7.122,4.6192,1.1666,0.747,5.5862,7.6446,6.799,7.9228,7.2852,4.2248,-0.3362,3.8428,7.1786,4.543,-0.5898
2023,7,22,-2.4258,-1.8754,-0.4398,0.7512,2.706,2.8368,-1.779,-1.9014,-1.562,-2.1066,-1.6498,-0.7992,-0.4032,0.2528,-2.5182,-1.551,-2.1144,-2.8592,-2.649,-2.0434,-2.2692,-2.5452,-2.2632,-2.2214,-2.254,-1.5782,-1.6328,2.3918,2.7524,1.1888,-2.0488,-0.1972,-2.1304,-2.83,-3.0354,0.8364,1.861,0.1008,1.3892,0.327,2.3436,0.1166,-0.0968,2.6594,1.7522,0.2456,2.6978,5.7528
