Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,1.0099925,1.013872,0.9812885,0.985538,0.9916395,0.990851,0.9909535,0.982405,1.020225,1.012811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9520215,0.9531015,0.952936,0.9525,0.9522585,0.953035,0.95306,0.95263,0
2021,7,2,0,0.646515,0.6465105,0.646483,0.6464775,0.6462215,0.6467125,0.6465345,0.6465255,0.646197,0.646938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000273,0.972249,0.985109,0.9883665,0.9869405,0.98729,0.9849665,0.9918085,0.9898765,0.9910225,0.990101,0.9915645,0.9971575,0.9839375,0.6023795
2021,7,4,0.600249,0.6057605,0.6036055,0.6166625,0.609563,0.608909,0.599226,0.595621,0.595174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95318,0.9487885,0.941451,0.981381,0.982651,0.9903115,0.9846825,0.984119,0.9812295,0.9874395,0.9860445,0.990604,0.988555,0.990619,0.9891925,0.9915475,0.99124,0.9904385,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521824,0.5175295,0.4866565,0.47060575,0.46796385,0.46796865,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9847475,0.9869555,0.9880205,0.9738835,0.9741015,0.985812,0.9747925,0.9879715,0.37466065
2021,7,8,0.37514455,0.3768996,0.3772333,0.38175475,0.3825951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9837715,0.9860775,0.984651,0.9866125,0.9860005,0.9859845,0.9860945,0.984279,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9839925,0.98436,0.9835085,0.9845155,0.983989,0.9852095,0.9848185,0.984782,0.5779525,0.577948,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9917895,0.979446,0.984544,0.985275,0.984782,0.9851305,0.9852715,0.984829,0.9848605,0.9848295,0.9838935,0.986319,0.865576,0.26707375,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
