Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984975,0.985806,0.985114,0.9870645,0.9856335,0.987139,0.9863665,0.986726,0.9864335,0.9867865,0.3590807,0.36046395,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986738,0.9808815,0.983572,0.9802375,0.9820075,0.9819755,0.9833945,0.9765115,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9832905,0.978769,0.9823155,0.988716,0.986818,0.9789255,0.991129,0.981175,0.985422,0.986192,0.9838015,0.9829085,0.982737,0.98426,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980562,0.983215,0.9904455,0.989001,0.982863,0.98395,0.9886075,0.98645,0.983913,0.984265,0.973586,0.972469,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981537,0.986491,0.98432,0.986226,0.9836615,0.9873595,0.9911545,0.968035,0.8284195,0.829445,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9976565,0.943389,0.9691925,0.9816795,0.9923705,0.978464,0.9830435,0.982623,0.982623,0.986829,0.9855125,0.9840175,0.985649,0.9856395,0.98577,0.9861375,0.984731
2021,7,10,0.9876415,0.9864295,0.983295,0.9781305,0.978092,0.985396,0.985377,0.9836915,0.9859515,0.9860735,0.9847745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9789895,0.9768305,0.977823,0.97572,0.9811515,0.97916,0.9809705,0.9832225,0.991031,0.9899475,0.9878155,0.988166,0.995435,0.9807585,0.983671
2021,7,12,0.991749,0.989349,0.988976,0.988961,0.989305,0.9839715,0.9843175,0.9923435,0.9742575,0.9834305,0.9848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970728,0.9761935,0.9767165,0.974744,0.9745335,0.9764475,0.974914,0.9779795,0.976584,0.976554,0.979607,0.983866,0.9855,0.986922,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9710035,0.9748815,0.97658,0.9778875,0.977341,0.9776815,0,0,0,0,0
2021,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9779535,0.9779425,0.995075
2021,7,15,0.97955,0.984877,0.9854925,0.985171,0.985797,0.985446,0.986208,0.986119,0.9848665,0.984763,0.9854275,0.9860375,0.985231,0.9854,0.9846725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976219,0.9883575,0.984735,0.9888815,0.996183,0.968109,0.983929,0.9863365,0.986695,0.987105,0.9873725,0.987261,0.9876635,0.9880335,0.9897725
2021,7,16,0.986415,0.9872605,0.9904775,0.989258,0.988842,0.9894655,0.9878055,0.989568,0.9891605,0.989176,0.990807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9922585,0.9349605,0.979473,0.9879145,0.986018,0.9875255,0.994255,0.965908,0.9766415,0.9971015,0.9872265,0.983377,0.9835925,0.989685,0.9856215,0.9900485,0.9879625
2021,7,17,0.989189,0.987643,0.990051,0.9889785,0.9893515,0.9885345,0.9905025,0.989338,0.990161,0.990626,0.988499,0.988529,0.9900425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8855305,0.9026145,0.9215225,0.9361425,0.9728115,0.984881,0.9828425,0.986965,0.984013,0.98907,0.987128,0.9798055,0.9933055,0.972762,0.983066,0.9848925,0.9850045,0.9899005,0.9883445
2021,7,18,0.986932,0.9872425,0.9861745,0.9878255,0.987197,0.9883475,0.9867965,0.987273,0.98764,0.9878145,0.9883695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9758875,0.9774405,0.9787435,0.9804865,0.981703,0.9835585,0.987522,0.982228,0.983112,0.9826765,0.9853585,0.98383,0.9854955,0.98351,0
2021,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9935845,0.9877225,0.982396,0.9863905,0.9831145,0.987068,0.9851935,0.9855695,0,0,0,0,0,0,0
2021,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583441,0.584156,0.583284,0.5844615,0.5950315,0.5961605,0.6032375,0.604233,0
2021,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9907485,0.983212,0.9840925,0.9884,0.9872035,0.986465,0.990826,0.967269,0.9928175,0.9812515,0.987088,0.986236,0.986241,0.9878495,0.9874335
2021,7,22,0.987852,0.988215,0.98861,0.988285,0.989454,0.9890205,0.989002,0.98922,0.989198,0.989214,0.9891865,0.9879925,0.9909235,0.9922615,0.986476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9898345,0.98502,0.9860955,0.983931,0.9736315,0.9962975,0.991136,0.981168,0.9848255,0.982878,0.98429,0.992031,0.9863475,0.990099,0.983683
2021,7,23,0.9899705,0.985807,0.9907985,0.989521,0.9891135,0.9825905,0.9959735,0.9859745,0.9848405,0.9809215,0.985041,0.989036,0.9902705,0.991143,0.988118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004135,0.999882,0.9772895,0.986776,0.9843825,0.9873595,0.985935,0.9867275,0.985656,0.988565,0.9892305,0.976709,0.987137,0.979813,0.9722125,0.9926795,0.8884465
2021,7,24,0.889886,0.889352,0.8893365,0.8934675,0.89179,0.891831,0.890067,0.893205,0.8921405,0.8910955,0.892441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977101,0.98246,0.991471,0.9779245,0.984715,0.985461,0.9864095,0.984535,0.984613,0.9874325,0.9858945,0.986666,0.9852745,0.9868605,0.65353
2021,7,25,0.6467725,0.6464795,0.647248,0.650344,0.6505925,0.647568,0.6475575,0.647615,0.647079,0.6476785,0.648186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981243,0.980703,0.985289,0.989298,0.9872005,0.9779575,0.98208,0.9862715,0,0,0,0,0,0,0
2021,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9836995,0.987257,0.9834235,0.987318,0.9891285,0.982735,0.9849175
2021,7,27,0.985693,0.9849775,0.986577,0.986949,0.9853865,0.984245,0.9883825,0.9884925,0.9765565,0.986301,0.9865595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8598775,0.8608425,0.863302,0.865811,0.868393,0.8673155,0.9452325
2021,7,28,0.9429435,0.940116,0.9408705,0.9428625,0.94285,0.9460135,0.945621,0.9476885,0.9502765,0.9516655,0.9516455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980751,0.975914,0.979691,0.983848,0.98428,0.9849715,0.9924505,0.9927865,0,0,0,0,0,0,0
2021,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8085525,0.8088465,0.809041,0.8093395,0.8092055,0.809545,0.8091905,0.8095295,0
2021,7,31,0,0.979852,0.9794355,0.9759515,0.9743635,0.9742315,0.9742065,0.9780525,0.978034,0.9780135,0.974427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2712356,0.27156275,0
2021,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995445,0.9809095,0.984128,0.986018,0.9842515,0.986106,0.984547,0.986168,0.9853885,0.9846175,0.984196,0.987395,0.985291
2021,8,2,0.9864715,0.986124,0.986112,0.9891595,0.970466,0.9837475,0.98587,0.9849365,0.9878495,0.9871925,0.9867715,0.9872125,0.9871805,0.9875635,0.9859165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00959,0.9900855,0.980749,0.986878,0.986691,0.985882,0.9855975,0.987171,0.986048,0.9871935,0.986542,0.9872755,0.987472,0.9863495,0.987081,0.9866985,0.9907875
2021,8,3,0.9681385,0.982358,0.9869355,0.9870775,0.98706,0.989021,0.974917,0.9832455,0.9834925,0.9858625,0.986264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9744315,0.978652,0.9888545,0.978039,0.9833455,0.986323,0.9843335,0.9870665,0.9851535,0.9875175,0.987586,0.986484,0.9867955,0.9871495,0.991458,0.982043,0.984402
2021,8,4,0.987328,0.9876175,0.984937,0.9853775,0.987488,0.9863985,0.9872065,0.988087,0.987336,0.9877805,0.988574,0.988084,0.989228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973479,0.9836505,0.9829555,0.986732,0.9835555,0.988806,0.986774,0.987138,0.9860895,0.988409,0.993967,0.982388,0.981041,0.9835585,0.9865395
2021,8,5,0.985941,0.9881215,0.9870275,0.985968,0.9891055,0.9869895,0.9885485,0.9873925,0.988651,0.989667,0.987143,0.22598355,0.226049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983622,0.9874115,0.984241,0.9874705,0.984304,0.989205,0.9926375,0.9721585,0.983521,0.9868255,0.9860315,0.9868185,0.986843
2021,8,6,0.988023,0.986154,0.989863,0.986502,0.9894,0.988138,0.9893295,0.988499,0.9892665,0.9859045,0.990816,0.6571325,0.6589925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.004023,1.0063445,0.9787925,0.9888595,0.9888515,0.973006,1.0020525,0.9735955,0.984988,0.9883985,0.986891,0.9886215,0.9875005,0.9891835,0.9867025,0.9914745,0.9896785
2021,8,7,0.98928,0.9891635,0.989908,0.9894385,0.9898525,0.99151,0.9899175,0.9912005,0.9904005,0.990688,0.9906575,0.989352,0.992676,0.9923755,0.9893025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9969645,0.9981075,0.987254,0.979223,0.982137,0.9904595,0.9869015,0.9872615,0.9916965,0.9802645,0.994064,0.979458,0.9848725,0.9883145,0.987434,0.987817,0.9866085
2021,8,8,0.9894725,0.989025,0.9881785,0.987474,0.9913305,0.9869635,0.9926195,0.990305,0.989862,0.989156,0.990799,0.9914945,0.98855,0.9933435,0.9840375,0.13617355,0.11694115,0.0918645,0.07351345,0.06044715,0.0501968,0.04054588,0.034117175,0.03101764,0.031237475,0.032412995,0.036934065,0.04279543,0.0525376,0.873306,0.8888915,0.9096455,0.9271625,0.975204,0.986645,0.9839075,0.986682,0.983984,0.9890725,0.9880135,0.981136,0.97797,0.977959,0.9856835,0.98743,0.9887725,0.9863765,0.987136
2021,8,9,0.988292,0.9873925,0.9881485,0.9880685,0.988048,0.987272,0.9889555,0.987897,0.989109,0.9899765,0.9870615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11423995,0.1271805,0.970802,0.979516,0.9788335,0.9788245,0.976779,0.980069,0.9747995,0.9741625,0.9784515,0.9798605,0.974755,0.970879,0.9752495,0.9779915,0
2021,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9810105,0.981396,0.980978,0.9813605,0.981354,0.9813315,0.981537,0.98111,0.9812565,0.9816085,0.17588205
2021,8,11,0.1766786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994756,0.9806815,0.984559,0.985327,0.984874,0.985244,0.9851145,0.9850985,0,0,0,0,0,0,0
