Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2731001,0.2732034,0.27313025,0.2732478,0.2731532,0.2735723,0,0,0,0,0,0,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988888,0.9904875,0.995312,0.9778005,0.977056,0.9886065,1.0010545,0.980819,0.994226
2021,7,4,0.9955665,1.013758,1.0303315,1.033298,1.031771,1.007508,1.022286,0.984584,0.954988,0.972319,0.954941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984146,0.988225,0.9854205,0.98995,0.9868,0.9908315,0.9868925,0.9915495,0.9890435,0.9890325,0.989617,0.9888285,0.988434,0.9909395,0.9882925
2021,7,5,0.992322,0.989944,0.987591,0.9898645,0.990654,0.990108,0.978024,1.033469,1.018955,0.9904645,0.978912,0.28603065,0.28608795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982942,0.9873075,0.9852145,0.986477,0.984534,0.989849,0.9891005,0.986411,0.987641,0.987658,0.987461,0.988611,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738256,0.741755,0.7423705,0.742196,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7958545,0.7863435,0.757675,0.758986,0.7574805,0.759421,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985309,0.9733695,0.995336,0.9793785,0.983004,0.98784,0.9862135,0.9869805,0.984638,0.987856,0.865719,0.864266,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9832725,0.9851705,0.982554,0.988023,0.991654,0.967542,0.986593,0.985118,0.97758,0.983597,0.996747,0.9808775,0,0,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9912885,0.9843655,0.983629,0.98528,0.985941,0.9823505,0.983977,0.9836165,0.984594,0.9843025,0.9828895,0.98513,0.43066695,0.4303646,0.7502545
2021,7,14,0.7505395,0.7504685,0.750445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98392,0.9863235,0.985458,0.986707,0.9854505,0.9878305,0,0,0,0,0,0,0
2021,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9819985,0.9893405,0.988095,0.9893105,0.989875,0.988705,0.9884075,0.991724,0.9904765,0.990057,0.9885945,0.9925445,0.988503,0.993115,0.996219
2021,7,16,0.9787445,0.9924485,0.9831305,1.0319995,1.0280145,1.0110235,0.991272,1.04004,1.0407065,1.0363025,1.0186005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9957135,0.983642,0.999085,0.975279,0.986223,0.987523,0.9858945,0.993079,0.9918065,0.987088,0.9906735,0.9886705,0.9874865,0.992416,0.9911335,0.9914915,0.99263
2021,7,17,0.9834005,0.985588,0.978173,0.9963085,0.978871,0.98852,1.009805,0.978237,0.978197,1.0202515,0.983815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0097275,0.955878,0.9866995,0.9726385,0.989856,0.982081,0.9860355,0.990623,0.989561,0.988335,0.9881745,0.9901505,0.990529,0.9889035,0.9910215,0.990618,0.990221
2021,7,18,0.9913825,0.9909325,0.9912955,0.9928025,0.9884145,0.990918,0.9887805,0.98864,0.991872,0.992766,0.9851635,0.988097,0.986862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9890605,0.9872395,0.9879075,0.9862885,0.9860885,0.9869255,0.9871825,0.987984,0.987165,0.9884405,0.9881145
2021,7,20,0.9875635,0.9860655,0.9905775,0.990329,0.9880015,0.990293,0.988561,0.9894505,0.9902595,0.9916325,0.987122,0.988207,0.9914645,0.98887,0.9888375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,21,0,0.6502515,0.651752,0.651025,0.650762,0.651293,0.65052,0.65182,0.645604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987408,0.991785,0.990833,0.9891365,0.987177,0.991101,0.9926725,0.986957,0.989146,0.9904115,0.9914575
2021,7,22,0.9898715,0.9887655,0.992657,0.9928645,0.9880585,0.990299,0.9889995,0.9891155,0.98947,0.9867835,0.992487,0.990685,0.9898525,0.8274875,0.837634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9780005,0.9925025,0.9896385,0.987533,0.9884325,0.9900175,0.9908155,0.9880795,0.989603,0.989592,0.9888045,0.990838,0.988613,0.9910725,0.9910235
2021,7,23,0.986995,0.989736,0.9876655,0.987232,0.9900895,0.9939755,0.985091,0.9890515,0.988206,0.989305,0.9871735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,24,0,0.9902395,0.987495,0.9856155,0.9909095,0.986309,0.9910115,0.9874715,0.9898055,0.9880445,0.9891825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986137,0.98653,0.985951,0.98678,0.37791755
2021,7,25,0.37808205,0.37777775,0.3781111,0.378144,0.37797965,0.37787995,0.37820655,0.37800795,0.3781691,0.37834355,0.378026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985104,0.987398,0.986489,0.983957,0.9798225,0.988734,0.995055,0.9664065,0.981995,0.971,0.4995258,0.501834,0,0,0
2021,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9857315,0.986529,0.9864835,0.9868415,0.986698,0.9866675,0.986861,0.986043,0,0,0
2021,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9845275,0.985351,0.9848875,0.9856835,0.9858755,0.984216,0.9856565,0.9852465,0.2603912,0.2603911,0,0,0
2021,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9840685,0.9836735,0.9832475,0.984837,0.983994,0.985158,0.984121,0.986286,0,0,0
2021,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9907115,0.983098,0.9843395,0.984329,0.984816,0.9848055,0.9851245,0.984894,0.9840585,0.9855955,0.985253,0.9844645,0.8814895,0.881476,0
2021,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9183695,0.9171775,0.915066,0.915035,0.9181725,0.918912,0.9230825,0.9245895,0
2021,8,1,0,0.22585815,0.226539,0.22621055,0.2262736,0.22522005,0.2252454,0.22463885,0.22463025,0.2240781,0.2242102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9904735,0.9946935,0.983699,0.981279,0.9847835,0.9749185,0.9851415,0.986669,0.986594,0.986584,0.98693,0.9864955,0.9864445,0.985961,0.981564,0.992819,0.9881715
2021,8,2,0.990471,0.9897855,0.989338,0.9887665,0.990864,0.990591,0.989749,0.990027,0.990799,0.9907315,0.99031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9833225,0.988709,0.9874855,0.991029,0.98934,0.9897155,0.9889355,0.9905405,0.9899025,0.990312,0.9903005,0.989869,0.989928,0.9899155,0
2021,8,3,0,0.990164,0.988971,0.9896585,0.9888655,0.989262,0.9888485,0.9888345,0.9888125,0.988867,0.988435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,4,0,0,0,0,0,0,0,0,0,0,0,0.8185595,0.818169,0.818771,0.815799,0.1346415,0.113455,0.0903347,0.07175275,0.0539688,0.043503725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98764,0.9856885,0.9881795,0.986593,0.988183,0.984864,0.991866,0.9889255,0.9893095,0.990175,0.9877705,0.9871695
