Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.979514,0.987204,0.988437,0.9864825,0.990925,0.98995,0.989928,0.989574,0.990379,0.989845,0.9906205,0.990721,0.9898845,0.9912235,0.987168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9839585,0.975812,0.9798755,0.97521,0.98472,0.97798,0.9838925,0.9838775,0.984103,0.985091,0.985424
2021,7,3,0.986702,0.98597,0.9871905,0.986662,0.987041,0.9849515,0.989812,0.989473,0.987446,0.988783,0.985818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982943,0.986736,0.986518,0.986855,0.9973205,0.9690395,0.9846865,0.988357,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9834295,0.986127,0.9860775,0.986917,0.9867525,0.986739,0.9859875,0.9880065,0.9868735,0.988536,0.4972897
2021,7,5,0.48903085,0.48542755,0.48250135,0.48190255,0.4819,0.4827536,0.482275,0.49689245,0.5161395,0.534775,0.5347755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995929,0.9816695,0.983436,0.986052,0.98555,0.9843075,0.9846675,0.9846155,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9823575,0.9832045,0.983553,0.983532,0.992381,0.9683405,0.9831285,0.987068,0,0,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900645,0.984839,0.985023,0.987645,0.986332,0.986613,0.989786,0.9708995,0.9823095,0.9852535,0.9863565,0.986346,0.986573,0.9857075,0.9847725
2021,7,9,0.9877155,0.9870455,0.987031,0.9867465,0.987504,0.9869775,0.9878195,0.988874,0.9855975,0.9853145,0.987717,0.178882,0.1788912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9846955,0.98584,0.984793,0.9863145,0.985534,0.9863415,0.9858495,0.986631,0.98564,0.987529,0.987977,0.980781,0.982126
2021,7,10,0.973889,0.964886,0.992332,0.9866775,0.986661,0.9869675,0.9862005,0.98618,0.9869055,0.9862035,0.987263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
