Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.3749861,0.3779307,0.3779293,0.3856724,0.38518255,0.3860507,0.38671385,0.3861408,0.386476,0.38539205,0.38772275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9830815,0.987355,0.9856785,0.9860625,0.9863995,0.986385,0.9859935,0.9847335,0.6198305,0.6208905,0.1785452,0.1785332,0,0,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0040405,0.9777555,0.9848055,0.986897,0.98654,0.985253,0.9858925,0.986659,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986179,0.9766305,0.9851875,0.987308,0.9864855,0.9872905,0.989412,0.986614,0.6887215,0.6867495,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990382,0.967295,0.9837285,0.98829,0.987238,0.9856115,0.986592,0.9865605,0.9859815,0.9875455,0.567377,0.569189,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993211,0.9650325,0.980805,0.97858,0.9842515,0.983524,0.9607295,0.958286,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995451,0.967648,0.9842755,0.9833845,0.985735,0.9861595,0.9868795,0.986033,0.986678,0.987822,0.987665
2021,7,9,0.988887,0.988266,0.9862025,0.987691,0.986084,0.9870565,0.9870365,0.984696,0.9900155,0.989131,0.9857245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9822525,0.985207,0.989744,0.990448,0.9825435,0.985795,0.9843155,0.983886,0,0,0,0,0,0,0
2021,7,10,0,0.740867,0.741439,0.7414575,0.740574,0.741075,0.7407835,0.7409865,0.7409715,0.7405755,0.741111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983155,0.987999,0.9858655,0.986625,0.985462,0.986989,0.986119,0.986854,0.9836165,0.9842835,0.988435,0.9846795,0.3958281
2021,7,12,0.39393475,0.39505125,0.3941865,0.39475705,0.39509635,0.3943423,0.3960508,0.39523445,0.39506305,0.3950129,0.3958832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9847785,0.987664,0.9804805,0.988582,0.9874935,0.9816175,0.9816135,0.98792,0.9864225,0.984391,0,0,0,0,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721698,0.7230575,0.722379,0.7223675,0.7228755,0.72257,0,0,0,0,0,0,0
