Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988025,0.9861545,0.98738,0.988145,0.9868005,0.989705,0.987673,0.9896735,0.988629,0.9902805,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9793695,0.979351,0.9847585,0.9828275,0.984326,0.984319,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9865125,0.981086,0.9838,0.98717,0.9835985,0.988401,0.9857565,0.9878515,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9834145,0.986655,0.984841,0.9867065,0.9859745,0.985958,0.986263,0.9855085,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984788,0.986592,0.9957155,0.966188,0.979387,0.991006,0.983306,0.986045,0.6273375,0.6284095,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976002,0.991176,0.9973105,0.9765685,0.9867635,0.9863425,0.9852835,0.9860895,0.985551,0.9886685,0.98793,0.9859375,0.985902,0.9876575,0.987244
2021,7,9,0.989977,0.9880145,0.9887955,0.9876865,0.9899765,0.990208,0.9870945,0.9882565,0.989392,0.9889015,0.989277,0.527057,0.46038095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990818,0.989373,0.990528,0.990878,0.9916685,0.9909445,0.987502,0.9897615,0.991358,0.9900885,0.9820255,0.9867325,0.984778
2021,7,11,0.9855145,0.985546,0.9855335,0.984525,0.986181,0.9854915,0.985475,0.9860365,0.984779,0.985561,0.9855375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977563,0.9852365,0.9806775,0.9893345,0.9886445,0.977856,0.9867925,0.986355,0.9837575,0.991718,0.895849
2021,7,12,0.8994545,0.8959205,0.900048,0.873623,0.8970295,0.8959395,0.900003,0.8974115,0.8450685,0.8823895,0.83824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982689,0.9823145,0.98334,0.9810575,0.981167,0.9830705,0.981629,0.9827535,0.9816935,0.9828035,0
