Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0.9875525,0.992002,0.9894655,0.9878075,0.988277,0.988684,0.9887085,0.9894905,0.98655,0.995097,0.19597395,0.19604035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9827895,0.9914205,0.9889845,0.988576,0.991864,0.989106,0.9811555,0.993827,0.999037,0.9990125,0
2021,7,2,0,0.932242,0.956003,0.9573625,0.9459925,0.941227,0.9543205,0.9498805,0.92751,0.92962,0.8442615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985256,0.9910655,0.986288,0.991379,0.9912625,0.9896885,0.9929965,0.9884185,0.9784535,0.99267,1.004765,0.9861935,0.889298
2021,7,4,0.8888945,0.869253,0.8676705,0.8697545,0.871286,0.8766075,0.8793345,0.908528,0.9093485,0.918814,0.8490235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9857145,0.9911225,0.990537,0.9886185,0.9901275,0.9893105,0.990524,0.9909095,0.9860425,1.0045255,0.990619,0.982189,0.9777565
2021,7,5,0.980839,1.0090955,0.9908825,1.038121,1.0212475,1.013965,1.00317,1.0120215,0.9910335,0.987945,0.9929705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,6,0,0.9869705,0.986538,0.987296,0.9864475,0.985262,0.9885845,0.98734,0.986495,0.9882265,0.986626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9870945,0.9883815,0.988153,0.9893415,0.990698,0.9871555,0.9868745,0.992644,0.9896575
2021,7,7,0.991217,0.9893045,0.9919785,0.985781,0.9770485,0.9997215,0.979767,1.023978,1.0196555,1.024377,1.0260305,0.574068,0.52011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9861095,0.989256,0.985878,0.990373,0.9872315,0.9919645,0.9886315,0.992296,0.988862,0.9921055,0.9898455,0.992816,0.9783365
2021,7,8,0.990198,0.9814175,0.993288,1.010252,0.9890525,1.031497,0.9961275,1.020924,1.0025355,1.045604,1.0318805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98594,0.98593,0.9859685,0.988192,0.9834275,0.9910445,0.984886,0.9909635,0.9874035,0.9917415,0.98806,0.991783,0.986565
2021,7,9,0.994265,0.990978,0.9905715,0.9921905,0.9880145,0.9887295,0.9894965,0.99086,0.987306,0.988619,0.988175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9847285,0.987906,0.9936165,0.9646225,0.9861005,0.98249,0.987349,0.986059,0.982804,0.984725,0.9857595,0.988967,0.984836,0.9904385,0.3811864
2021,7,10,0.3819851,0.38144455,0.38160565,0.3817004,0.38137495,0.38202485,0.38087005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982975,0.9891055,0.9870795,0.9859845,0.9908565,0.967864,0.9763505,0.9886965,0,0,0,0,0,0,0
