Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0.5517765,0.551143,0.5512895,0.552641,0.524044,0.49688605,0.49234935,0.4923565,0.49234965,0.4922917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9841665,0.986831,0.985623,0.98632,0.986277,0.984733,0.9849615,0.9856965,0.8433015,0.844324,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989665,0.9904875,0.990379,0.9903695,0.989932,0.991114,0.9923725,0.9856345,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9818165,0.9860195,0.986739,0.987127,0.987609,0.9859855,0.987229,0.987215,0.989411,0.984211,0.27673,0.2761415,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9772785,0.9813205,0.979389,0.981774,0.980687,0.981411,0.980564,0.9819725,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18337325,0.1835816,0.18394195,0.1837466,0.1842455,0.18337615,0,0,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757127,0.759634,0.7591405,0.7585255,0.758666,0.758932,0,0,0,0,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9829635,0.9833525,0.9832025,0.9835805,0.983131,0.983884,0.983045,0.984161,0.983139,0.9842585,0.9832385
2021,7,15,0.984479,0.984035,0.984018,0.9844795,0.983643,0.984774,0.983104,0.983328,0.98413,0.983636,0.9828295,0.4731157,0.4196367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985521,0.984732,0.9842845,0.986531,0.985027,0.987041,0.986469,0.986065,0.985637,0.987526,0.9867695,0.9871185,0.999582
2021,7,16,0.9759205,0.986492,0.9888765,0.987266,0.9900855,0.989586,0.9875225,0.987401,0.989429,0.987035,0.988303,0.986522,0.991174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933685,0.9539085,0.9807375,0.9890535,0.9958265,0.9684565,0.9863605,0.988126,0.9871635,0.989297,0.9881875,0.989409,0.989055,0.9898195,0.988317,0.9906175,0.990316
2021,7,17,0.9898815,0.988637,0.992272,0.9900465,0.99159,0.9902975,0.991797,0.990828,0.991547,0.9894765,0.990957,0.9850665,0.9938835,0.839522,0.836861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9837965,0.9861185,0.9843305,0.9895605,0.9924985,0.981304,0.984317,0.9889005,0.9867015,0.9883,0.988306,0.988294,0.9883035,0.989895,0.9904795
2021,7,18,0.988105,0.9893175,0.9896855,0.9884415,0.991365,0.9900215,0.9904135,0.989741,0.989338,0.9892465,0.990876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9958675,0.941665,0.980383,0.9838725,0.990751,0.972899,0.9818995,0.9842665,0.985127,0.989189,0.9871595,0.98832,0.989186,0.987479,0.9876725,0.9904595,0
2021,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9792805,0.9899015,0.999896,0.978307,0.975603,0.9924095,0.989099,0.982319,0.983844,0.9867115,0.9843425,0.9873085,0.9859635,0.9866485,0.37412275
2021,7,20,0.3764977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981489,0.987313,0.9982605,0.9710805,0.984546,0.989001,0.986934,0.9876705,0.988891,0.9834355,0,0,0,0,0
