Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7446295,0.745437,0.7451425,0.744857,0.744974,0.744952,0,0,0,0,0,0,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679843,0.680107,0.67808,0.6798825,0.680145,0.6815265,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9680425,0.9682015,0.9687355,0.9637875,0.9672725,0.969167,0.896321,0.899959,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9696845,0.970432,0.9707075,0.969582,0.9692405,0.9710855,0.9699345,0.970649,0.9702795,0.97027,0.9697585
2021,7,8,0.970823,0.9698155,0.971402,0.9703515,0.969417,0.969975,0.9703365,0.9711985,0.969192,0.971463,0.971332,0.3393642,0.3402599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977502,0.9783685,0.978373,0.967491,0.9694215,0.970959,0.9698845,0.971331,0.9710135,0.970286,0.97125,0.9697705,0.9707595,0.970387,0.970239,0.970947,0.8613705
2021,7,9,0.8613585,0.861101,0.8626695,0.863137,0.861849,0.862275,0.8609905,0.86095,0.860115,0.86135,0.861011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968898,0.971192,0.9698785,0.972001,0.968883,0.9696475,0.970474,0.9690725,0.969682,0.970042,0.9708615,0.969708,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,11,0,0.926369,0.922426,0.922605,0.922586,0.922937,0.921404,0.9286665,0.929668,0.929359,0.923372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9870585,0.943744,0.968535,0.97114,0.972178,0.971424,0.970869,0.970861,0.972729,0.973057,0.9725815,0.971831,0.97376,0.9719385,0
2021,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9688605,0.9763515,0.972353,0.973079,0.9726585,0.9722785,0.97231,0.9730325,0.971568,0.973733,0.974821,0.973352,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96947,0.9705385,0.971238,0.9703665,0.9706355,0.968612,0.9714725,0.969485,0,0,0,0,0,0,0
2021,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787624,0.805626,0.8272265,0.8328715,0.8274695,0.8320705,0.831961,0.831915,0,0,0,0,0,0,0
2021,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9705915,0.96867,0.9688,0.970656,0.969538,0.9702425,0.968969,0.972155,0.6953965,0.6953885,0,0,0,0,0
2021,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967239,0.9706555,0.9684875,0.970616,0.9702135,0.969836,0.9695985,0.973002,0,0,0,0,0,0,0
2021,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876338,0.9201645,0.964405,0.931769,0.928942,0.942048,0.96491,0.970643,0.9692385,0.9703685,0.9701365,0.970129,0.9701905,0.9650775,0.970874,0.9719555,0.971644,0.9716335,0.9714435
2021,7,20,0.9754275,0.9757945,0.971224,0.975647,0.97682,0.9777145,0.977202,0.97791,0.9775955,0.9771805,0.9779135,0.977839,0.9777995,0.788818,0.726675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974505,0.9760105,0.9790135,0.941423,0.9649545,0.9724555,0.9715335,0.970286,0.9705335,0.970903,0.970265,0.972506,0.9713745,0.9706575,0.9705445,0.972308,0.972055
2021,7,21,0.9723155,0.971833,0.974693,0.974982,0.979482,0.9775515,0.9744785,0.975909,0.9715265,0.973386,0.9747195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969027,0.970987,0.970209,0.970574,0.9701025,0.970831,0.9703525,0.9707055,0.970582,0.970569,0.969769,0.9712085,0,0,0
2021,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968997,0.971494,0.9690105,0.969183,0.970303,0.971748,0.970125,0.970471,0.970144,0.9712075,0.3328446,0.3332638,0,0,0
2021,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972162,0.972768,0.972193,0.971464,0.9729855,0.971519,0,0,0,0,0,0,0
2021,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9714265,0.970572,0.9693395,0.969172,0.9700945,0.9717825,0.972008,0.971602,0.24027445,0.23991015,0,0,0
2021,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968786,0.9699155,0.9697625,0.9693865,0.969841,0.969087,0.96891,0.970012,0.9688455
2021,7,28,0.969952,0.9692725,0.969627,0.969243,0.969595,0.9694105,0.9693905,0.9687025,0.9701335,0.969464,0.9694305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9306155,0.965639,0.96888,0.9696735,0.969471,0.969455,0.9691405,0.9699025,0,0,0,0,0,0,0
2021,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929509,0.965189,0.9689105,0.9684885,0.968746,0.968719,0.9682705,0.969403,0.6721375,0.672624,0,0,0,0,0
2021,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9286845,0.94043,0.963707,0.96911,0.968629,0.9679035,0.9684625,0.969196,0.2836092,0.2848666,0,0,0,0,0
2021,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9643965,0.970989,0.969628,0.970733,0.969318,0.9711435,0.9695725,0.9710105,0.9707275,0.970008,0.9711435,0.9719625,0.964983
2021,8,2,0.9717275,0.9688085,0.9688125,0.97112,0.970404,0.968828,0.968854,0.9712385,0.96492,0.9711805,0.970101,0.970985,0.9702545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9701345,0.9708345,0.971513
2021,8,3,0.969525,0.9750665,0.9739675,0.977537,0.9771705,0.977744,0.975153,0.975743,0.9782805,0.9737505,0.971175,0.969545,0.9702725,0.9711145,0.9699405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8939365,0.9111305,0.9235215,0.941119,0.97081,0.976415,0.9777185,0.9784155,0.976181,0.9765635,0.97582,0.975023,0.975294,0.974889,0.9773635,0.97774,0.977665
2021,8,4,0.979807,0.9789265,0.980463,0.982005,0.9819895,0.981193,0.9831325,0.9816075,0.9827545,0.981675,0.9824345,0.981374,0.9799455,0.22128085,0.220745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9857565,0.9887425,0.98908,0.9416955,0.969495,0.9758115,0.974266,0.9780615,0.97859,0.978582,0.97575,0.978054,0.9785335,0.978156,0.9780185,0.9794525,0.978422
2021,8,5,0.9791245,0.97476,0.970886,0.979109,0.978385,0.978281,0.9789865,0.980761,0.973689,0.980265,0.9802415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,6,0,0.971788,0.9703605,0.970704,0.9699765,0.9704415,0.970781,0.9701655,0.970504,0.9685195,0.9708875,0.970165,0.9699525,0.9712365,0.969046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868089,0.8808545,0.889062,0.91153,0.9219935,0.9403145,0.9659285,0.9708825,0.9703235,0.970316,0.970141,0.9705135,0.9704265,0.9704175,0.970198,0.9705655,0.9701785,0.9705445,0.9703165
2021,8,7,0.9706735,0.9706615,0.97028,0.970266,0.97062,0.9705695,0.970182,0.9703675,0.970348,0.9703615,0.9703375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9282785,0.942407,0.968364,0.969836,0.9708835,0.9712505,0.9726245,0.9751395,0.9785005,0.9747185,0.974541,0.970593,0.9794275,0.9748995,0.934323
2021,8,8,0.9343095,0.9335925,0.933203,0.9362875,0.935167,0.935245,0.938852,0.93359,0.933565,0.935568,0.9344325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965884,0.9704355,0.969029,0.9715505,0.9708985,0.9712295,0.969616,0.970348,0.9708235,0.970414,0.970159,0.9716875,0,0,0
2021,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9608275,0.9753005,0.9704725,0.970458,0.97111,0.969655,0.9700925,0.9698665,0.971869,0.9697135,0.9710405,0.969769,0.7749395,0.7760745,0.632002
2021,8,10,0.631296,0.6312335,0.631521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969673,0.9700235,0.970373,0.9710815,0.9719995,0.971593,0,0,0,0,0,0,0
2021,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,13,0,0,0,0,0,0,0,0,0,0.7545635,0.7524425,0.7592665,0.760526,0.755432,0.7656375,0.20928935,0.2012381,0.18071805,0.1619722,0.14538145,0.1326706,0.1234865,0.1145568,0.11088345,0.1103901,0.1102759,0.11344865,0.11805025,0.12674325,0.8462455,0.8593,0.873352,0.9658875,0.9922745,0.962253,0.9703425,0.9783315,0.9786515,0.9786435,0.9787,0.977936,0.979376,0.9752835,0.98005,0.9804185,0.9820985,0.9843095,0.989581
2021,8,14,0.985534,0.9827195,0.9827065,0.984368,0.9847175,0.9914285,0.99015,0.9824785,0.98607,0.977929,0.988438,0.9911225,0.9812755,0.985409,0.9857385,0.9308115,0.9163175,0.1943782,0.17619695,0.16077085,0.15018925,0.1436558,0.13840195,0.13354645,0.1327562,0.1329175,0.13678095,0.141053,0.14863345,0.851811,0.867566,0.8794925,0.8983445,0.9141315,0.9360175,0.967102,0.974208,0.9769945,0.975813,0.9776045,0.976531,0.974585,0.9756705,0.982121,0.982111,0.981088,0.9834315,0.982525
2021,8,15,0.9821245,0.9817215,0.9828755,0.982693,0.9823005,0.9821555,0.9828875,0.982496,0.982476,0.9840295,0.9810125,0.983641,0.9813805,0.9821885,0.975858,0.831575,0.82208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9773385,0.977987,0.98189,0.9372865,0.965985,0.972301,0.9692595,0.9700255,0.9734855,0.9752535,0.9779775,0.9783545,0.9781145,0.9795405,0.97398,0.98093,0.9819555
