Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968778,0.9703435,0.96945
2021,7,2,0.970203,0.9697815,0.970147,0.9697125,0.970436,0.969709,0.971124,0.968935,0.9693355,0.9703385,0.970704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58591,0.586561,0.586128,0.586341,0.5863235,0.5846235,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968153,0.969632,0.96813,0.969318,0.9689315,0.9689145,0.9688965,0.9688765,0.9687265,0.969089,0.968367,0.9698385,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591185,0.592076,0.591444,0.591892,0.591466,0.5919045,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6769035,0.6779085,0.6770435,0.6777785,0.6747765,0.675574,0.87973
2021,7,6,0.8806835,0.878683,0.8793485,0.880483,0.881499,0.8833465,0.8833325,0.884588,0.886875,0.881421,0.8828575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965907,0.9689115,0.967146,0.9687145,0.9671745,0.9694165,0,0,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9616875,0.9693255,0.967546,0.968712,0.967935,0.9686815,0.967508,0.9679235,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9676225,0.969484,0.9675145,0.970581,0.9466005,0.943365,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9629885,0.9707845,0.968261,0.969739,0.968563,0.9696695,0.968513,0.970475,0.969167,0.970654,0.969737,0.9715025,0.9709715
