Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9700755,0.970068,0.9699995,0.969992,0.9699055,0.9702555,0.9713485,0.9702775,0.965269,0.9692345,0.969816,0.970558,0.3980798
2021,7,2,0.397611,0.3976935,0.3972201,0.39656795,0.39656865,0.396931,0.39660775,0.2770498,0.27737295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968456,0.969218,0.9688715,0.969226,0.969117,0.9690835,0.9687105,0.969404,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96802,0.969857,0.9673775,0.971648,0.969872,0.969852,0.9694565,0.970175,0.9693485,0.970409,0.2097836,0.20986,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968973,0.9693095,0.9691205,0.969095,0.969163,0.969482,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9646795,0.9699965,0.9694675,0.9694475,0.9694595,0.9694345,0.9690125,0.9700505,0.971456,0.973108,0.34099175,0.0852327,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8717875,0.8851375,0.975701,0.9851705,0.9652695,0.9701825,0.9709625,0.9697215,0.973012,0.972272,0.974908,0.975616,0.976197,0.975476,0.9775875,0.977578,0.974584,0.977385,0.975176
2021,7,11,0.979278,0.977841,0.977466,0.9768475,0.975963,0.9775675,0.9822875,0.980424,0.9783905,0.975399,0.976225,0.979729,0.976825,0.845676,0.843574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,12,0,0.9791875,0.9758125,0.9768405,0.9768145,0.9765235,0.9773395,0.977477,0.9785585,0.9693475,0.9802185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972101,0.9720935,0.9690365,0.972121,0.972242,0.9706575,0.9693315
2021,7,13,0.971932,0.9755425,0.9773165,0.9759425,0.978218,0.977103,0.978967,0.9767465,0.97556,0.9733365,0.9781535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,14,0,0.978235,0.973594,0.97358,0.9781925,0.9777705,0.977101,0.9764965,0.9757625,0.9709355,0.9749985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9655035,0.971551,0.9706875,0.9720985,0.9708795,0.971247,0.974215,0.9724035,0.974099,0.9748145,0.9781255,0.9750895,0.977979,0.9748945,0.9798825
2021,7,15,0.976896,0.977114,0.977284,0.975408,0.9761765,0.9774095,0.978883,0.9790245,0.977516,0.978859,0.9773185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9718,0.96982,0.9709095,0.9712765,0.9723555,0.97342,0.974396,0.9740225,0.9745115,0.974862,0.9774275,0.9759915,0.978574
