Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.39474365,0.3917169,0.39215905,0.394196,0.39498115,0.3966109,0.39751755,0.39695815,0.3955756,0.39591045,0.3960693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9777615,0.978839,0.978649,0.979722,0.9779255,0.975297,0.9799055,0.981099,0.2785625,0.2792098,0,0,0,0,0
2021,7,2,0,0.863569,0.8628675,0.8606365,0.860271,0.858787,0.8587615,0.8605385,0.860161,0.8575745,0.8575295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982981,0.988861,0.988313,0.9831025,0.985177,0.985166,0.984959,0.9861625,0.985546,0.9863105,0.986147
2021,7,4,0.9865025,0.9862935,0.986637,0.9859715,0.987231,0.970764,0.9894735,0.986205,0.9862235,0.9839205,0.9798525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981306,0.9739625,0.980196,0.983328,0.982002,0.981993,0.9815805,0.982718,0.9819395,0.9826735,0.9939915,0.9794005,0.516231
2021,7,6,0.5172235,0.519158,0.5197855,0.518972,0.5200115,0.5197045,0.519506,0.5196165,0.5196165,0.5209415,0.5180925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976574,0.979549,0.9783815,0.9780025,0.978115,0.978103,0.978206,0.9781925,0,0,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981736,0.9809555,0.981234,0.9815885,0.9833835,0.9837205,0.989056,0.9832725,0.4541533,0.4545001,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6135415,0.605859,0.607069,0.608242,0.6116115,0.61066,0,0,0,0,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,12,0,0.9849055,0.9867015,0.987724,0.988787,0.984797,0.9797825,0.993071,0.9818815,0.991237,0.9819115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9774715,0.981425,0.9841875,0.9859995,0.992006,0.9736295,0.9820525,0.9836935,0.984488,0.9852435,0.9849565,0.9853235,0.9850675
2021,7,13,0.9854265,0.985102,0.985455,0.9854135,0.985028,0.9845985,0.985699,0.9846635,0.9858535,0.985271,0.9848725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9745865,0.9786235,0.976001,0.979784,0.982233,0.9844465,0.990486,0.986698,0.986717,0.982635,0.9836825,0.985415,0.9837025,0.984094,0
2021,7,14,0,0.9829995,0.9857655,0.984655,0.9854135,0.9850035,0.985363,0.985627,0.984568,0.984745,0.984712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,15,0,0.5605275,0.563469,0.563423,0.5646195,0.568933,0.5698695,0.580126,0.580976,0.5812245,0.5821145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589741,0.9984015,0.993866,0.993687,0.975351,0.9871225,0.9814285,0.988576,0.98166,0.992612,0.988496,0.9794685,0.983644,0.9891065,0.9891035,0.974111,0.9857455,0.972189,0.981852
2021,7,16,0.9909425,0.994738,0.9687495,0.985514,0.986488,0.9853195,0.987836,0.986647,0.987432,0.987009,0.986137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951228,0.9403735,0.933828,0.9745955,0.980316,0.9749065,0.9780805,0.98117,0.983122,0.98198,0.984161,0.986343,0.995729,0.981334,0.984686,0.985827,0.985787,0.985022,0.984576
2021,7,17,0.985721,0.9845475,0.986481,0.9866265,0.9842845,0.985359,0.9853355,0.986009,0.984485,0.985043,0.9853785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9968465,0.939503,0.973974,0.9813885,0.978023,0.979124,0.9815665,0.983119,0.9829565,0.9856925,0.9854685,0.9847365,0.9906415,0.9888225,0.9921875,0.9738885,0.9883305
2021,7,18,0.984535,0.984931,0.9851485,0.984736,0.9854945,0.98484,0.9859375,0.9852555,0.985231,0.9853695,0.9849595,0.9849855,0.9849445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9803345,0.97425,0.976267,0.983773,0.990954,0.988644,0.981612,0.9855605,0.9939775,0.9912455,0.9854035,0.9853925,0.4006614
2021,7,19,0.4006605,0.40001155,0.40001065,0.40270485,0.40353155,0.40801985,0.40884915,0.27286565,0.27207635,0.178416,0.1782073,0.1775572,0.17741585,0.1768398,0.1764853,0.17612145,0.17501305,0,0,0,0,0,0,0,0,0.17231725,0.1721152,0.1716374,0.17170645,0.1722372,0.1727197,0.1734308,0.1736448,0.9776865,0.978047,0.977624,0.9783445,0.9770375,0.979175,0.976972,0.9740445,0.1745565,0.1739313,0.1736108,0.1739953,0,0,0
2021,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9763165,0.9793135,0.979486,0.972952,0.978027,0.9808025,0.9947535,0.983003,0.986601,0.9838885,0.9832555,0.9856325,0.985282,0.9848805,0.6496455
2021,7,21,0.6413555,0.650594,0.651786,0.6515415,0.6508285,0.6509325,0.65438,0.629226,0.629218,0.6316125,0.625362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97745,0.9773245,0.987115,0.9777315,0.984084,0.9855375,0.9854345,0.39768195,0,0,0,0,0,0,0
2021,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,23,0,0.984486,0.985213,0.9854455,0.985016,0.985393,0.985765,0.9855595,0.985127,0.9858395,0.98541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979415,0.9801115,0.9816495,0.982042,0.9814915,0.9830435,0.98215,0.9828935,0.984165,0.9852465,0.4014017
2021,7,24,0.40106915,0.40312045,0.4042498,0.4050592,0.4050583,0.4019686,0.40213275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978646,0.9782775,0.9794005,0.972266,0.974755,0.9758855,0.9797385,0.9793175,0.9812445,0.9816305,0,0,0,0,0
