Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.3771998,0.37830675,0.37897005,0.3790009,0.3783397,0.37804955,0.37741025,0.3740042,0.37367705,0.27076295,0.27097345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9822555,0.987378,0.984797,0.987498,0.987945,0.9814875,0.97765,0.9776325,0,0,0,0,0,0,0
2021,7,2,0,0.7774775,0.7774695,0.778438,0.7781345,0.777441,0.77743,0.77576,0.775746,0.7773865,0.777367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9842105,0.9867225,0.9851425,0.988023,0.9869115,0.987668,0.987656,0.986876,0.986805,0.9875645,0.9660605
2021,7,4,0.9660445,0.9654615,0.967008,0.9658555,0.9677765,0.9675205,0.9670845,0.9674215,0.9658665,0.966595,0.9218335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99974,0.9778425,0.9855485,0.987674,0.9873645,0.9881305,0.9872235,0.988368,0.9874305,0.989113,0.38300885
2021,7,5,0.3833392,0.38318565,0.38350435,0.38334245,0.3836773,0.38357965,0.38357825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9792775,0.9691025,0.9776095,0.9819645,0.9872755,0.989065,0.9862835,0.98301,0.984778,0.9852735,0.44296295,0.4417949,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9809695,0.981738,0.9808595,0.982355,0.9832775,0.984343,0.988982,0.989664,0.7771875,0.768401,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,9,0,0.9839325,0.983519,0.98334,0.9841205,0.983736,0.984107,0.983538,0.9846555,0.9829145,0.984903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980782,0.986457,0.982937,0.9857295,0.9841925,0.985723,0.9844445,0.986384,0.987349,0.983731,0.983538,0.984397,0.904767
2021,7,10,0.9075345,0.8962455,0.882572,0.8812435,0.8833235,0.8961605,0.8980305,0.90934,0.910451,0.910852,0.9104775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9732365,0.979645,0.9783165,0.9790205,0.9803795,0.972769,0.97874,0.980339,0.981491,0.9830105,0.984195,0.9871055,0.9735765,0.9919415,0.36784455
2021,7,11,0.3679836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978747,0.972913,0.979448,0.982198,0.98146,0.9825405,0.988878,0.984493,0,0,0,0,0,0,0
2021,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9731065,0.980208,0.9803125,0.9841595,0.9869995,0.988434,0.9917875,0.991063,0.9906925,0.988738,0.98207,0.9837085,0.985322
2021,7,13,0.9832675,0.9831355,0.983941,0.983476,0.9857455,0.986152,0.983834,0.983468,0.983036,0.9830135,0.9833995,0.9834915,0.9859615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9817815
2021,7,14,0.980971,0.9795085,0.979496,0.9809025,0.982873,0.98256,0.9821685,0.9821135,0.982488,0.9818845,0.982999,0.98302,0.9818885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9863655
2021,7,15,0.988101,0.9873175,0.9889545,0.988063,0.9892325,0.9884335,0.989553,0.988837,0.9900765,0.989468,0.99025,0.989788,0.9901485,0.9922445,0.9848335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9747025,0.9840805,0.9804885,0.986266,0.984868,0.987311,0.985496,0.988131,0.9910815,0.9676345,0.99394,0.9823995,0.986993,0.98824,0.9871045
2021,7,16,0.988262,0.987589,0.9888485,0.9879915,0.9896,0.988589,0.99011,0.9903855,0.9887475,0.9884905,0.9900015,0.988719,0.9911715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003615,1.0014005,0.979,0.988799,0.983528,0.9873195,0.9857635,0.9865665,0.9851795,0.987897,0.9863845,0.9878245,0.989669,0.9709695,0.9841455,0.98382,0.9855475
