Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974878,0.978467,0.977899,0.9778815,0.978002,0.977623,0.978095,0.977346,0.977481,0.9778085,0.816085,0.816345,0,0,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9917905,0.9990685,0.9720335,0.979857,0.985961,0.9876245,0.9826225,0.986924,0.985311,0.9861105,0.985362,0.9861555,0.9858675,0.985858,0.985406,0.986566,0.985594
2021,7,4,0.98708,0.986261,0.986965,0.992086,0.9681275,0.983465,0.974979,0.980479,0.97743,0.9840395,0.984454,0.985214,0.985953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975138,0.9775245,0.9850565,0.987962,0.9812625,0.9849025,0.9851575,0.98553,0.9851385,0.98551,0.984451,0.986809,0.9852665,0.987585,0.986236
2021,7,5,0.9876735,0.985389,0.985375,0.98719,0.980984,0.9864985,0.9716895,0.972592,0.9858965,0.980006,0.9888295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63759,0.6368535,0.6362025,0.638177,0.6380115,0.638549,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973868,0.9753015,0.978365,0.9745425,0.976986,0.97816,0.9505535,0.943246,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984189,0.984167,0.9836305,0.984799,0.9837205,0.9841775,0.4722956,0.47267545,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7637505,0.7661715,0.770746,0.773413,0.778146,0.7627825,0.7653555,0.775113,0.5496015
2021,7,11,0.5485625,0.5489325,0.549333,0.548845,0.54898,0.541054,0.541053,0.541644,0.5360775,0.540993,0.5421515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982151,0.9825215,0.9818735,0.9829825,0.9852605,0.9863375,0.991369,0.9913565,0.9943645
2021,7,12,0.981086,0.9828515,0.9858245,0.984353,0.985495,0.985081,0.985063,0.984545,0.985648,0.9845925,0.9862215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8869445,0.9003005,0.914021,0.932317,0.9664645,0.972661,0.9747145,0.978529,0.978697,0.980486,0.975904,0.9782845,0.981818,0.982593,0.980991,0.983993,0.992411,0.9914655,0.9924675
2021,7,13,0.9797465,0.983351,0.9833285,0.983122,0.9839255,0.9843645,0.9858965,0.98529,0.985266,0.9858115,0.9842485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9774575,0.979311,0.97893,0.970893,0.979539,0.9806795,0.981278
2021,7,14,0.9832135,0.9821375,0.983233,0.9896045,0.9821455,0.9832345,0.9846565,0.9842445,0.9857665,0.9852415,0.985224,0.667292,0.6675365,0.17797445,0.1773077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,15,0,0.985884,0.9858695,0.985799,0.985782,0.9851665,0.986692,0.9885295,0.973199,0.980805,0.9807325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9885375,0.9951355,0.9961845,0.997606,0.973168,0.9784705,0.9796385,0.982282,0.9872345,0.9790575,0.9835435,0.9873315,0.9861795,0.986169,0.985313,0.9872745,0.987301,0.985755,0.9851415
2021,7,16,0.987822,0.98946,0.97318,0.9811975,0.9783475,0.981991,0.982092,0.9834365,0.98291,0.978444,0.9784125,0.968286,0.9908965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9954605,0.99564,0.969516,0.9804265,0.9803985,0.984937,0.9942495,0.9849515,0.9825155,0.9864065,0.984238,0.987467,0.9856065,0.987869,0.986901,0.9872505,0.9878825
2021,7,17,0.9777605,0.974259,0.987504,0.98143,0.983516,0.9874265,0.974169,0.985902,0.978737,0.98549,0.9864475,0.9859785,0.986369,0.973472,0.999564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969132,0.9764215,0.97741,0.9802905,0.9779315,0.9805825,0.981535,0.9837845,0.987231,0.9886645,0.99013,0.9917425,0.9893185,0.98991,0.982929
2021,7,18,0.985714,0.9850015,0.985375,0.985249,0.985231,0.9850465,0.98541,0.9841815,0.986897,0.9856605,0.9868055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9740145,0.9743675,0.973985,0.9743365,0.975976,0.977155,0.979757,0.983282,0.983842,0.9827255,0.9814905
