Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.7881345,0.788005,0.787708,0.7919275,0.7932255,0.774783,0.7532805,0.7533465,0.752828,0.7557325,0.762871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9842095,0.9873615,0.9863855,0.9863645,0.985809,0.986889,0.9874575,0.9808595,0.99242,0.971372,0,0,0,0,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9827075,0.987294,0.985109,0.987366,0.98639,0.986731,0.9934525,0.9653405,0.985736,0.983552,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9851115,0.9866475,0.9859765,0.9868235,0.986576,0.9865635,0.9857255,0.98779,0.987505
2021,7,4,0.9886575,0.9875055,0.9879195,0.9870435,0.989124,0.988066,0.9899805,0.990873,0.986963,0.987075,0.986706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983175,0.9883585,0.986234,0.987333,0.9862705,0.9840015,0.9731045,0.985819,0.9967345,0.968206,0.9843725,0.9889525,0.9868435,0.989341,0.38298105
2021,7,5,0.38331355,0.38264385,0.3841065,0.3845624,0.3825873,0.3830963,0.382609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98597,0.9863555,0.984985,0.9880225,1.0024845,0.9774755,0.9874285,0.987701,0.9863635,0.9886965,0.988469,0.9880275,0.9872645,0.989308,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9850105,0.9853735,0.98472,0.9858645,0.985752,0.9853265,0.985234,0.9856345,0.9856945,0.9852645,0.39359275
2021,7,7,0.3859823,0.3694352,0.37146705,0.37129565,0.3725943,0.3750971,0.374774,0.3723156,0.37165855,0.2781222,0.2782405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9796425,0.986077,0.9846025,0.9865665,0.984547,0.987835,0.979944,0.9821505,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9817555,0.9846145,0.982369,0.9893075,0.9937,0.980582,0.98485,0.986514,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70879,0.709038,0.710476,0.7102,0.7087305,0.708969,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983723,0.9856475,0.983139,0.9876115,0.9875605,0.981905,0.9822545,0.9759425,0.980794,0.980603,0.984218,0.9825905,0
2021,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9832895,0.986345,0.984928,0.986105,0.9862575,0.984644,0.984337,0.9859515,0.986004,0.984783,0.984884,0.985254,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9861195,0.9861085,0.9865535,0.985357,0.984881,0.986854,0.9864535,0.9860575,0.9860405,0.9864025,0
2021,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989169,0.978831,0.982786,0.9844025,0.9846735,0.984269,0.983951,0.9835675,0,0,0,0,0,0,0
2021,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757424,0.758635,0.7580825,0.758362,0.7578235,0.7586685,0,0,0,0,0,0,0
2021,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982076,0.985086,0.982958,0.98609,0.985911,0.985511,0.635119,0.635874,0,0,0,0,0
2021,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986993
2021,7,20,0.985496,0.985893,0.9858835,0.985777,0.98615,0.9856095,0.9867185,0.98603,0.986739,0.987212,0.9853775,0.9857405,0.986105,0.904829,0.905186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9860405,0.986773,0.986039,0.98711,0.99926,0.971271,0.9851145,0.9862965,0.986123,0.985334,0.672345
2021,7,22,0.672632,0.6725575,0.672555,0.6722375,0.6730705,0.6728075,0.672804,0.6726805,0.6729465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983551,0.9854615,0.984382,0.9856145,0.984564,0.9861525,0,0,0,0,0,0,0
2021,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9512365,0.952798,0.952144,0.9525,0.9521905,0.9525325,0.9522055,0.9525245,0,0,0,0,0,0,0
