Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.980911,0.986541,0.986802,0.9854565,0.988968,0.9862015,0.9877825,0.988341,0.985523,0.9822195,0.991987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7706205,0.737998,0.7457105,0.7434905,0.745635,0.743398,0.7451135,0.744162,0.52294
2021,7,2,0.5113845,0.4974377,0.514447,0.50608,0.4906874,0.502037,0.4883474,0.4919335,0.4868889,0.4874966,0.48694085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0.9882755,0.986825,0.9884045,0.985717,0.985889,0.98789,0.98625,0.987324,0.987627,0.9868235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9855065,0.987434,0.9776945,0.98378,0.986788,0.984638,0.9825785,0.988428,0.985192,0.9867115,0.9848505
2021,7,4,0.988235,0.98672,0.986703,0.987901,0.9862605,0.98736,0.988879,0.9888665,0.9863935,0.98565,0.9897295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8498595,0.8478825,0.841599,0.8484635,0.8503055,0.837449,0.9844545
2021,7,5,0.9836125,0.984982,0.9813795,0.982435,0.983205,0.9817455,0.982554,0.98281,0.981574,0.982055,0.913887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,6,0,0.9877705,0.9901005,0.9895495,0.988769,0.987932,0.9898575,0.986755,0.990991,0.989106,0.9878635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78585,0.7864665,0.80033,0.801249,0.8113495,0.8113365,0.852791
2021,7,7,0.853778,0.8594385,0.858747,0.858955,0.859258,0.859953,0.8582195,0.858601,0.853091,0.85691,0.8575505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976788,0.9862115,0.9842765,0.986206,0.98311,0.988939,0.9816765,0.982896,1.000827,0.9769945,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988377,0.983371,0.98488,0.984858,0.9838925,0.987421,0.9955975,0.9724525,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759292,0.7554575,0.7600055,0.7609535,0.759538,0.762503,0,0,0,0,0,0,0
