Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.39421635,0.3989546,0.39842475,0.39354605,0.392331,0.3907494,0.3910967,0.39774435,0.4007275,0.4015858,0.4033354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9807375,0.985454,0.9837985,0.98824,0.9968645,0.968361,0.9841105,0.988194,0.9868795,0.9867145,0,0,0,0,0
2021,7,2,0,0.9134885,0.915718,0.914327,0.916052,0.9143595,0.911288,0.906634,0.912608,0.9147915,0.9131875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976246,0.984231,0.978215,0.9894845,0.9932485,0.965897,0.9828425,0.98884,0.987421,0.9870165,0.987399,0.988594,0.98834,0.9887295,0.988619
2021,7,4,0.987778,0.989324,0.987263,0.9889415,0.9885265,0.9888645,0.988836,0.9866235,0.988999,0.98817,0.9892645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9497525,0.9497415,0.959467,0.9589575,0.9405675,0.942196,0.948092,0.949311,0
2021,7,5,0,0.9869165,0.988479,0.9887985,0.989924,0.989456,0.9894325,0.9882055,0.990545,0.988416,0.9916645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,6,0,0.9900755,0.9896475,0.989677,0.9908425,0.9888465,0.9922615,0.990345,0.9906985,0.9921205,0.989077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9851085,0.9851005,0.9847075,0.987447,0.9859405,0.9873925,0.9828605,0.9864395,0.994991,0.980573,0.984165,0.986549,0.9853005
2021,7,8,0.9877935,0.984741,0.9894645,0.986933,0.990132,0.988336,0.9904555,0.988015,0.9913235,0.9882855,0.9886605,0.992287,0.985822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980051,0.982424,0.9843525,0.9857975,0.982143,0.9825055,0.984194,0.9799795,0.980149,0.9805845,0.9788205,0.979713,0.9795455,0.9795525,0.9818685
2021,7,10,0.981458,0.981398,0.9821705,0.9819285,0.9822885,0.981687,0.982422,0.99129,0.9806485,0.9846125,0.9849625,0.9848525,0.9848105,0.7563645,0.7063095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99243,0.9775885,0.9793405,0.982371,0.982832,0.986663,0.9843955,0.988541,0.9863295,0.986956,1.00032,0.9747755,0
2021,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9967335,0.98305,0.9859175,0.982359,0.983795,0.985334,0.9857475,0.9838255,0.9844065,0.9843925,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9800605,0.98421,0.984717,0.9850875,0.9846755,0.9859115,0.9847635,0.9867395,0.9861815,0.986169,0.984688,0.987689,0.987294,0.9860015,0.3753742
2021,7,14,0.37537435,0.37549085,0.37466685,0.3798235,0.38312225,0.387752,0.3877526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97526,0.9822115,0.9834,0.985199,0.9909795,0.9799165,0.983102,0.984235,0,0,0,0,0,0,0
2021,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9811355,0.983882,0.980906,0.985894,0.983468,0.984686,0.982436,0.9867855,0.987264,0.973579,0.849554,0.8477185,0,0,0
2021,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9904145,0.980235,0.981698,0.9845865,0.984881,0.984492,0.983858,0.9857115,0.9846825,0.9866345,0.9852655,0.9867605,0.9851825
2021,7,20,0.987346,0.986164,0.9865045,0.9923105,0.9651455,0.98418,0.9849565,0.9852435,0.985644,0.9746685,0.983107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986953,0.9869415,0.987114,0.979027,0.9807465,0.985533,0.9818515,0.9820345,0.9434865
2021,7,21,0.945076,0.951685,0.954342,0.9525225,0.9537455,0.953489,0.9530505,0.951699,0.9531695,0.9490385,0.9080965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9844685,0.986381,0.9858885,0.984726,0.984998,0.986623,0.986223,0.986214,0.9860345,0.9864265,0.986533,0.9861255,0.986173
2021,7,22,0.986933,0.9865625,0.987626,0.988203,0.9846945,0.987384,0.988133,0.9871925,0.9892815,0.98915,0.989507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9834275,0.987638,0.9860025,0.9863955,0.9892495,0.9843905,0.9861655,0.9857455,0.985877,0.9862705,0.9863495,0.9870905,0.985574
2021,7,23,0.988139,0.994606,0.9718125,0.986176,0.9835045,0.984519,0.987684,0.983477,0.988828,0.987385,0.985659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9971105,0.98026,0.982133,0.9891355,0.9841525,0.9881775,0.986473,0.986065,0.985896,0.987055,0.985877,0.987035,0.9862725,0.98738,0.993564
2021,7,24,0.966251,0.965934,0.989466,0.9959825,0.973356,0.9845525,0.98931,0.9854215,0.988664,0.9861815,0.989455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9854485,0.987726,0.9814055,0.986154,0.9865555,0.9857465,0.985626,0.986796,0.9875435,0.9860595,1.00429
2021,7,25,0.978429,0.988257,0.9848505,0.9770635,0.9888665,0.9830195,0.9844175,0.9859235,0.9871415,0.984084,0.9918205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9800615,0.9869345,0.9851915,0.9863995,0.987432,0.9845335,0.9858675,0.9858575,0.9846705,0.987511,0.986975,0.9861915,0.986674
2021,7,26,0.9873915,0.996361,0.9696335,0.9920875,0.965767,0.9792695,1.000417,0.9838315,0.983201,0.9851115,0.9809435,0.9800145,0.9830665,0.9869655,0.9869185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991668,0.9798175,0.9840515,0.9881295,0.9867485,0.987469,0.990902,0.968211,0.9810625,0.9816545,0.9814595,0.9817455,0.973511
2021,7,27,0.996137,0.9751105,0.975114,0.9801255,0.9882415,0.9980895,0.969124,0.9889965,0.9845395,0.9850245,0.9870065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997612,0.99866,1.000306,0.950064,0.9889035,0.9780205,0.979613,0.994748,0.9935415,0.9799755,0.99077,0.985295,0.9835065,0.987279,0.980865,0.9906645,0.9914675
2021,7,28,0.9671135,0.967682,0.9905215,0.9847655,0.986813,0.997014,0.977176,0.9882405,0.984196,0.9862085,0.987429,0.1788746,0.17887125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98529
2021,7,29,0.984101,0.9848715,0.984464,0.984673,0.984654,0.984798,0.9843825,0.984787,0.984159,0.983698,0.9838015,0.738206,0.6817495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9811055,0.9734235,0.980254,0.984081,0.9832685,0.9854615,0.994779,0.978674,0.9837575,0.9860605,0.984741,0.98712,0.9856025
2021,7,31,0.9867545,0.985616,0.9874575,0.9849085,0.9778215,0.9691385,0.9973575,0.967097,0.9903655,0.9842315,0.9836555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9812395,0.9827795,0.986676,0.9789755,0.980282,0.988952,0.9989095,0.981275,0.7106045
2021,8,1,0.7090065,0.7100935,0.7103595,0.7068145,0.709985,0.7099465,0.7111255,0.710275,0.7108455,0.710355,0.711143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986965,0.9865825,0.986714
