Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9836725,0.9859425,0.9847635,0.985976,0.985138,0.986301,0.984886,0.9874715,0.4863113,0.48684505,0,0,0,0,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978997,0.986254,0.9842895,0.9866625,0.9851775,0.9870085,0.9950545,0.9671445,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987781,0.9783965,0.982561,0.985664,0.983673,0.987084,0.993906,0.9182675,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798755,0.8019135,0.8002325,0.802116,0.800729,0.8026705,0,0,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52847,0.5295595,0.528574,0.5299875,0.539036,0.5399225,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9872775,0.9754505,0.9813275,0.9877255,0.9845485,0.9871,1.0038825,0.9748175,0.9845575,0.9862475,0.98557,0.9859545,0.9842015,0.988104,0.383188
2021,7,8,0.38318865,0.38278075,0.38391345,0.25438255,0.25440245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9812145,0.989799,0.982635,0.9876125,0.985059,0.9880195,0.9906725,0.967025,0.9899145,0.9765035,0.982028,0.9833265,0.9922675,0.9775365,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976962,0.9790475,0.980891,0.983179,0.9822875,0.9822735,0.9821815,0.9825315,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97645,0.984387,0.9821,0.983843,0.9830335,0.986686,0.985652,0.9852315,0.7539775,0.755481,0,0,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991269,0.9840255,0.982049,0.986331,0.9841235,0.9869405,0.9848615,0.987799,0.984184,0.980076,0.9988555,0.9749955,0.47427555,0.4668402,0.37845025
2021,7,12,0.3782744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
