Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.8442935,0.849501,0.849487,0.849021,0.8499415,0.8382695,0.846999,0.8494095,0.8493805,0.8494865,0.8492165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953774,0.953761,0.956123,0.9591085,0.963035,0.9602895,0.9652175
2021,7,2,0.964664,0.973895,0.9718575,0.979497,0.978219,0.977499,0.9786515,0.978372,0.979567,0.9793525,0.905396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992926,0.9709945,0.9832705,0.9817485,0.984615,0.987801,0.9877115,0.9880465,0.9869675,0.9877585,0.9873855
2021,7,3,0.987763,0.9879115,0.987105,0.987441,0.9863425,0.985675,0.987703,0.9878655,0.9859345,0.9864455,0.9864045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9842945,0.988174,0.991395,0.970911,0.984231,0.982224,0.985451,0.985443,0.98453,0.9866655,0.9865205,0.9860815,0.985699
2021,7,5,0.9865515,0.9870635,0.985332,0.98504,0.986177,0.986433,0.985138,0.9808515,0.984906,0.994001,0.980371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980325,0.986186,0.9849125,0.985748,0.985146,0.9859615,0.9851435,0.9867195,0.984882,0.988189,0.975177,0.983623,0.98263,0.986564,0.9865155
2021,7,7,0.9868615,0.9856725,0.9856605,0.983511,0.986095,0.9858005,0.987235,0.982412,0.979124,1.004659,0.9768995,0.9868755,0.98558,0.9843125,0.9876495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0.9865265,0.9865105,0.9873505,0.983808,0.969406,0.991135,0.983546,0.9769745,0.982452,0.9723395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995306,0.991596,0.9873355,0.986598,0.982796,0.982413,0,0,0,0,0,0,0
2021,7,10,0,0.5590335,0.559033,0.5642035,0.5526375,0.553988,0.555072,0.554592,0.554824,0.5547515,0.5547485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983952,0.9855065,0.984232,0.9861715,0.9849485,0.9865445,0.985379,0.9869055,0.986459,0.986449,0.9863395,0.986328,0.9860445
2021,7,12,0.9867715,0.9865185,0.986505,0.9863285,0.986674,0.9874985,0.980916,0.980076,0.984104,0.9797655,0.9797165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981377,0.982848,0.987392,0.9884515,0.9935065,0.9934785,0.9938815,0.9884075,0.3009255,0.3012981,0,0,0,0,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9831485,0.984377,0.983655,0.984428,0.2830089,0.2830111,0,0,0,0,0
2021,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9847385,0.9846835,0.983058,0.9857405,0.9840175,0.98643,0.9851165,0.9866125,0.98594,0.9840765,0.9384185
2021,7,17,0.951017,0.9611735,0.9615155,0.9612205,0.9615545,0.961408,0.961381,0.961191,0.961505,0.960857,0.899881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9811455,0.9865855,0.9851525,0.987154,0.987423,0.984561,0.9849565,0.986055,0.9857815,0.985769,0.985587,0.985985,0.9258515
2021,7,18,0.9233635,0.9240745,0.9240575,0.923883,0.9242395,0.924218,0.923818,0.923671,0.924007,0.922917,0.9254365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10532255,0.1157674,0.9436825,0.9817165,0.9841045,0.987356,0.985155,0.9880895,0.987102,0.97774,0.984582,0.974079,0.9806215,0.979499,0,0,0
2021,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9862375,0.9873035,0.985558,0.9745815,0.9824935,0.9723955,0.982911,0.9797375,0
2021,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9854225,0.98763,0.9930985,0.9709835,0.9670995,0.9903935,0.9770955,0.9878255,0.98632,0.986594,0
2021,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981813,0.9785365,0.985626,0.9715835,0.34852595,0.3490992,0,0,0,0,0
2021,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9840355,0.986939,0.992752,0.97071,0.9829125,0.9839475,0.5857075,0.5852475,0,0,0,0,0
2021,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,26,0,0.6918105,0.6923905,0.692203,0.692192,0.6924175,0.691505,0.691794,0.6915005,0.692403,0.690377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984844,0.9878865,0.9956,0.967821,0.98333,0.9845785,0.9921695,0.9684865,0.983711,0.9862125,0.986412,0.9864,0.9853705
2021,7,27,0.9874675,0.9879315,0.9854475,0.986143,0.984988,0.9849305,0.9869935,0.98593,0.9875245,0.986599,0.987715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9817555,0.981447,0.981439,0.9817195,0.9875955,0.977594,0.983846,0.9777435,0.9844585,0.987366,0.9815025
2021,7,28,0.9794005,0.972155,0.975581,0.9563225,0.9817375,0.9804235,0.980407,0.981034,0.9795635,0.9805905,0.979032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9953835,0.981103,0.984014,0.985156,0.98485,0.9844315,0.9847205,0.9842825,0,0,0,0,0,0,0
2021,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923577,0.9246345,0.923386,0.925091,0.9172215,0.911728,0,0,0,0,0,0,0
2021,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9836395,0.9840865,0.9832835,0.9845605,0.983363,0.983546,0.984129,0.9846655,0.9842995,0.9846345,0.3970506
2021,8,1,0.3834133,0.3709423,0.3711784,0.2890345,0.2892344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984854,0.9868235,0.9854535,0.9872995,0.9930475,0.964175,0.983975,0.986874,0.643147,0.6426035,0,0,0,0,0
2021,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975795,0.968377,0.9849745,0.984167,0,0,0,0,0,0,0
2021,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9837225,0.984498,0.9838345,0.9849625,0.9843455,0.9850525,0.984899,0.9844925,0,0,0,0,0,0,0
2021,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3965834,0.37981325,0.3903924,0.39090715,0.39046125,0.391329,0,0,0,0,0,0,0
2021,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935899,0.9533195,0.984463,0.9786,0.9828485,0.984011,0.983216,0.983953,0,0,0,0,0,0,0
2021,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8536925,0.85706,0.862633,0.8626025,0.865001,0.867094,0,0,0,0,0,0,0
2021,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935883,0.9546515,0.979919,0.986207,0.985208,0.9855915,0.9852955,0.985672,0.9840925,0.9874775,0.992977,0.9729625,0.973787,0.982234,0.3756458
2021,8,11,0.37548655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983957,0.985435,0.9840815,0.986483,0.9850955,0.986586,0.985249,0.987022,0,0,0,0,0,0,0
2021,8,12,0,0.1784911,0.17851465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
