Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.9775765,0.985399,0.98787,0.987596,0.986794,0.9867085,0.9874765,0.987019,0.987381,0.9870755,0.9874205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6164035,0.616402,0.618287,0.6185225,0.6198735,0.620323,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984824,0.987511,0.9865905,0.986581,0.98685,0.9789545,0.975424,0.9838505,0.9739285,0.984359,0.8783065
2021,7,3,0.879751,0.89081,0.892167,0.89301,0.893339,0.893005,0.893325,0.8930245,0.89333,0.8933165,0.8774015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9785105,0.9866145,0.9840795,0.987692,0.9855245,0.985616,0.9931135,0.9719675,0.9805,0.985997,0.990581,0.9707525,0.9831465,0.9839885,0.67433
2021,7,5,0.67325,0.6654265,0.665423,0.6679645,0.668494,0.666473,0.6643315,0.6531535,0.6536845,0.6598495,0.6611745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9818275,0.984987,0.983393,0.9866625,0.984795,0.987009,0.9942735,0.965662,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,7,0,0.577546,0.5772965,0.5778025,0.578296,0.5813465,0.5810965,0.5785515,0.5787965,0.5782835,0.5777845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9833865,0.985679,0.9852925,0.9841655,0.984512,0.9845025,0.9848235,0.9840415,0.983312
2021,7,10,0.9856015,0.984471,0.985689,0.9849185,0.9860825,0.98597,0.9855725,0.98564,0.985227,0.985823,0.984597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588645,0.588644,0.5884475,0.5886815,0.588796,0.588541,0.4308166
2021,7,11,0.4147778,0.4051316,0.39606025,0.4005884,0.3970225,0.3966801,0.40324765,0.40513345,0.3996048,0.40256955,0.4031111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9814155,0.985136,0.981051,0.9858895,0.9836255,0.9875685,0.985757,0.986824,0.9866335,0.9858745,0.9857915,0.9864735,0,0,0
