Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.991604,0.9881805,0.989363,0.9890705,0.989051,0.988934,0.9892965,0.9890955,0.9894955,0.989592,0.9895555,0.2300059,0.2300472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,2,0,0.966399,0.9675525,0.966274,0.9677985,0.9673455,0.96733,0.967382,0.967365,0.967083,0.96778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537886,0.5390995,0.534381,0.520053,0.49831465,0.4983132,0.4857106,0.4839506,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994526,0.9663965,0.9817055,0.9826905,0.9857205,0.987349,0.9863575,0.9878815,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9790305,0.9750405,0.9795625,0.981546,0.98033,0.9824175,0.9807875,0.9825125,0,0,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982855,0.984504,0.986498,0.986894,0.9872415,0.98683,0.986951,0.9877355,0,0,0,0,0
2021,7,6,0,0.40320915,0.40303175,0.40330505,0.4031275,0.4032796,0.40293475,0.40303285,0.4030342,0.40293015,0.40310455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531626,0.5316265,0.5310795,0.532108,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986626,0.989161,0.987809,0.9901295,0.988095,0.990501,0.989348,0.9897595,0.9878435
2021,7,8,0.991933,0.9904815,0.9900715,0.9909805,0.989793,0.989666,0.9918825,0.989805,0.987173,0.9811615,0.9847355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9703805,0.971916,0.971014,0.9721935,0.971046,0.9734535,0.9726475,0.9726345,0.8597525
2021,7,9,0.856961,0.860343,0.85921,0.859578,0.8606695,0.860832,0.86003,0.860573,0.86093,0.8605455,0.859404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9851235,0.9873635,0.985306,0.987485,0.9890885,0.976009,0.9811425,0.9810825,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994301,0.973063,0.985172,0.984776,0.985231,0.986453,0.986828,0.9852055,0.9851675,0.9874845,0.985833,0.988346,0.987534
2021,7,15,0.9883055,0.987258,0.9887905,0.988501,0.988485,0.9886875,0.988488,0.988534,0.989717,0.9886545,0.990205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9861955,0.988167,0.986636,0.989171,0.988927,0.9889175,0.98866,0.989824,0.9877445,0.99152,0.9888655
2021,7,16,0.99128,0.990496,0.9900865,0.9902795,0.991024,0.9915545,0.9900435,0.990179,0.9912775,0.991115,0.989903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77824,0.7642425,0.76597,0.7551155,0.7555565,0.7555485,0
2021,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984985,0.9865595,0.9848645,0.9875,0.990693,0.9718195,0.9868595,0.982779,0.9890745,0.976013,0,0,0
2021,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985186,0.9725595,0.983994,0.985525,0.9863905,0.983447,0,0,0,0,0
