Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985622,0.988046,0.9878695,0.9858385,0.987914,0.9858955,0.986753,0.987925,0.9863465,0.987154,0.987465,0.988232,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985189,0.9868285,0.984838,0.987649,0.9860725,0.9868365,0.9873295,0.9864295,0.8631695,0.826457,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580038,0.58525,0.583301,0.584652,0.5839175,0.5841325,0.573135,0.5830725,0.9887885
2021,7,4,0.989537,0.9894985,0.989057,0.9875595,0.991234,0.988877,0.9901275,0.989533,0.989924,0.989704,0.9888175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544442,0.544022,0.2013096,0.20132045,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9818755,0.9903705,0.991728,0.9819315,0.9860825,0.9860705,0.988025,0.98416,0.9852675,0.986971,0.3778951
2021,7,6,0.37887605,0.3784413,0.37859995,0.378862,0.3782185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9852905,0.9840645,0.9853845,0.984231,0.985775,0.9833805,0.983773,0.9853955,0,0,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9855745,0.986709,0.98289,0.987072,0.9844685,0.986743,0.985465,0.987506,0.9839505,0.9881215,0.9853425,0.986165,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6704515,0.672958,0.6717835,0.672307,0.6719005,0.6718965,0.6726535,0.672081,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985501,0.9850805,0.9855605,0.985546,0.9865885,0.985035,0.9856045,0.9851845,0.984211,0.98726,0.9864145,0.983958,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
