Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.5243935,0.530189,0.529037,0.5292715,0.530049,0.5289395,0.530284,0.525484,0.49957365,0.49933885,0.5079315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981629,0.991186,0.986307,0.9767745,0.9862135,0.987447,0.988082,0.9880675,0.9856005,0.990117,0.9884955,0.988477,0.988425,0.990445,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991308,0.9692175,0.971189,0.987259,0.9783485,0.9783145,0.9772435,0.980445,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9852515,0.988488,0.9870025,0.988229,0.9903415,0.9863415,0.986207,0.991029,0.987869,0.989959,0.952479
2021,7,6,0.936285,0.954344,0.954688,0.9309965,0.9183545,0.9367745,0.9528765,0.95585,0.9529375,0.952931,0.853982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988526,0.973217,0.9798035,0.979785,0.98769,0.9697585,0.97707,0.992776,0.851218
2021,7,8,0.8522385,0.851696,0.8530395,0.8556305,0.855604,0.8557095,0.855679,0.855138,0.856169,0.8559115,0.8551855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984818,0.9831735,0.9843925,0.9871535,0.9856265,0.9884075,0.98861,0.9875275,0.989898,0.9863495,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9854585,0.9865505,0.984624,0.986373,0.9853705,0.986794,0.9799505,0.9799265,0.991211,0.968738,0.9842215,0.9793335,0,0,0
2021,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5901715,0.5892275,0.6070305,0.609009,0.607263,0.609361,0.867602
2021,7,12,0.869964,0.849826,0.81803,0.8186715,0.8165335,0.8173265,0.819108,0.817542,0.8181825,0.8193335,0.786604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9804695,0.9914525,0.9858115,0.9891285,0.9870485,0.987037,0.9782965,0.9849535,0.9880175,0.9847635,0.9886575,0.9848655,0.984744,0.992486,0.3846248
2021,7,13,0.38168605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984704,0.986313,0.986126,0.984892,0.9840495,0.9868615,0.985651,0.9856205,0,0,0,0,0,0,0
2021,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9869445,0.9850145,0.9864745,0.9853,0.9868655,0.985345,0.990908,0.97087,0,0,0,0,0,0,0
2021,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9847175,0.986991,0.9856665,0.986739,0.989954,0.9698965,0.9827955,0.986056,0.6023405,0.601814,0,0,0
2021,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987261,0.9851255,0.9853825,0.9870695,0.985322,0.990699,0.9882405,0.9893915,0.9865095,0.9922265,0.9914005
2021,7,18,0.987628,0.989126,0.9917855,0.990323,0.9906855,0.9812905,0.989251,0.9880825,0.9867515,0.994158,0.976007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9833685,0.9767025,0.9800765,0.980046,0.9885125,0.9755805,0.971488,0.9892715,0.9857225,0.975859,0.34657775
2021,7,19,0.3456852,0.1784326,0.17845705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987715,0.9738015,0.985008,0.987547,0.9848045,0.988837,0.985551,0.9888775,0,0,0,0,0,0,0
2021,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9865175,0.985743,0.9859195,0.986986,0.987135,0.976531,0.975831,0.98594,0.820531,0.8201685,0,0,0,0,0
2021,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9829775,0.982495,0.9839755,0.9868865,0,0,0,0,0,0,0
2021,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9847485,0.9847265,0.985409,0.984618,0.9851375,0.9855735,0.44398855,0.44399235,0,0,0,0,0
2021,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9856285,0.9725125,0.996841,0.9803945,0.9738635,0.9985195,0.9862495,0.98624,0.9882335,0.975161,0.998348,0.973361,0.47534385
2021,7,26,0.4730427,0.45643205,0.4422774,0.4395589,0.439336,0.4357527,0.44023075,0.4390753,0.4394632,0.43995735,0.4391658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9836615,0.986069,0.9861945,0.9854515,0.979365,0.983704,0.983053,0.987657,0,0,0,0,0,0,0
2021,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9822925,0.9860845,0.983781,0.986524,0.9947575,0.968411,0.975679,0.979402,0,0,0,0,0,0,0
2021,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5917305,0.591725,0.59136,0.592576,0,0,0,0,0,0,0,0,0
2021,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76177,0.762331,0.7830175,0.7706925,0.762597,0.7450385,0,0,0,0,0,0,0
2021,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49914945,0.49957825,0.49925465,0.49985115,0.499414,0.49976255,0,0,0,0,0,0,0
2021,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9765135,0.987656,0.9949915,0.974165,0.9779825,0.9753175,0.6534525,0.655008,0.653137,0.6565155,0,0,0
2021,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,8,0,0.894114,0.8741695,0.864901,0.867504,0.866922,0.866894,0.868605,0.8697325,0.86969,0.868474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990648,0.982871,0.983134,0.981651,0.9845015,0.987093,0.986745,0.9858955,0.985921,0.9895245,0.990078,0.989642,0.990547
2021,8,9,0.9888165,0.990686,0.990671,0.9899525,0.991487,0.9920785,0.988888,0.9887925,0.9922995,0.9903285,0.990302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9850745,0.986578,0.986663,0.985148,0.985984,0.9859645,0.9858435,0.98582,0.984718,0.986922,0,0,0,0,0
2021,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9854885,0.986224,0.9851755,0.9869745,0.991399,0.971838,0.981017,0.98745,0,0,0,0,0,0,0
2021,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980068,0.9857605,0.984903,0.9852975,0.9855545,0.985129,0.984893,0.98605,0,0,0,0,0,0,0
2021,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9820315,0.983395,0.985973,0.981764,0.981051,0.995142,0.872098,0.8761665,0.1768775,0.1770149,0,0,0
2021,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5379915,0.538805,0.538458,0.5382615,0.5382715,0.5384695,0.5383915,0.5383915,0
2021,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9824975,0.9880705,0.9882255,0.982211,0.9806225,0.9874105,0.9846155,0.9841905,0.9844415,0.984401,0.834828,0.836395,0,0,0
