Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0.17872005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987929,0.972641,0.9902615,0.9809875,0.984538,0.988231,0.987227,0.9871925,0,0,0,0,0,0,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9920265,0.9657305,0.9838395,0.988026,0.986196,0.987325,0.6901315,0.689517,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9848275,0.9877765,0.9865695,0.9895045,0.987123,0.9895855,0.9881125,0.990036,0.9903645,0.9880365,0.988905,0.989274,0.4843481
2021,7,4,0.48433735,0.48553785,0.485537,0.48573005,0.48583,0.48984295,0.48355555,0.48670675,0.48670505,0.4898365,0.4835485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994378,0.966211,0.9815155,0.9847225,0.9852045,0.9892705,0.9869995,0.985284,0,0,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576781,0.5721875,0.5716555,0.5714445,0.5696855,0.569683,0.5723015,0.574191,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9869395,0.986931,0.97405,0.9872115,0.9969355,0.9794285,0.984417,0.9891545,0.986982,0.989082,0.9883765,0.9891625,0.9881845
2021,7,7,0.9897355,0.989032,0.989396,0.9887955,0.9904655,0.989859,0.9869975,0.987636,0.988032,0.987299,0.988915,0.987597,0.989522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0.986856,0.986841,0.98605,0.989372,0.988634,0.9873545,0.988009,0.987984,0.988053,0.9880205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983183,0.9877795,0.9849585,0.9910255,0.984911,0.984719,0.9867505,0.9886795,0.9886475,0.987338,0.9873335,0.9894175,0.9883765,0.989562,0.9878355
2021,7,9,0.990909,0.989482,0.990306,0.990538,0.9896895,0.990743,0.9903215,0.9903595,0.9907175,0.990586,0.9909295,0.9729045,0.863019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989514,0.9824305,0.9839465,0.986469,0.9849195,0.9852885,0.9857985,0.984945,0.984875,0.985244,0.9846365,0.9853865,0.985089,0.9850755,0.9849375
2021,7,11,0.9852945,0.9852385,0.9848455,0.985406,0.9846365,0.9848985,0.984871,0.98425,0.9857375,0.9844305,0.986021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,12,0,0,0,0.5890915,0.5886275,0.5890885,0.588624,0.588849,0.5883425,0.588514,0.5885105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9818915,0.9822585,0.9815365,0.982647,0.983857,0.986775,0.987959,0.9823375,0.9812485,0.982021,0.9834295,0.986072,0
2021,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98558,0.986298,0.9861885,0.9854225,0.9859335,0.985143,0.985496,0.9854605,0,0,0,0,0,0,0
2021,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9850385,0.9866065,0.9879895,0.9772665,0.983036,0.9832735,0.9856275,0.9883725,0.9855425,0.988746,0.9872375,0.989256,0.898414
2021,7,17,0.8723645,0.8721895,0.8627655,0.8513565,0.8470665,0.8455415,0.8466585,0.846283,0.847732,0.84752,0.847481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12751125,0.145653,0.9947095,0.969813,0.984839,0.987779,0.987096,0.9853825,0.984859,0.986923,0,0,0,0,0,0,0
2021,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984666,0.986193,0.9857385,0.9857135,0.9855815,0.986266,0,0,0,0,0,0,0
2021,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,20,0,0.9875445,0.9894505,0.989269,0.9888305,0.9893815,0.9893565,0.990299,0.989096,0.9880995,0.9880535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9862115,0.990382,0.988736,0.989506,0.9888035,0.9899275,0.988985,0.991042,0.990437
2021,7,21,0.990014,0.990402,0.989977,0.990902,0.9896815,0.989805,0.990965,0.9911925,0.9882385,0.9890625,0.989019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981569,0.9773765,0.9837895,0.9866535,0.988499,0.986577,0.98636,0.9883675,0.9879945,0.9879825,0.9886065,0.9897775,0.98891
2021,7,22,0.990564,0.988544,0.991047,0.988935,0.9910165,0.9904345,0.990807,0.989297,0.9920135,0.990876,0.991216,0.9907725,0.990733,0.8178905,0.7733445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,23,0,0.7624645,0.760205,0.761672,0.761655,0.7625395,0.760513,0.7612655,0.7625245,0.7622595,0.762539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978079,0.9872895,0.984603,0.988478,0.9906545,0.9721825,0.985254,0.9874635,0.987193,0.9879915,0.9866,0.989507,0.987775,0.989019,0.9877435
2021,7,24,0.9901355,0.9887565,0.989525,0.989461,0.9898685,0.988923,0.990596,0.987943,0.9916965,0.9912365,0.9887185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986133,0.981691,0.9947065,0.975522,0.9860165,0.9891415,0.986559,0.989385,0.987478,0.98994,0.991545,0.985758,0.988199
2021,7,25,0.987006,0.988116,0.9866115,0.986997,0.9865585,0.9870485,0.98661,0.985717,0.9872905,0.987575,0.9875455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9849075,0.984716,0.9864845,0.9872985,0.9852095,0.990462,0.98638,0.9908885,0.989988,0.9870775,0.9873075
2021,7,26,0.987685,0.986904,0.9884655,0.986774,0.990428,0.987913,0.990234,0.99066,0.98821,0.987872,0.9901675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934864,0.955135,0.9779155,0.988417,0.98453,0.9893405,1.004774,0.977354,0.9853785,0.988965,0.986986,0.98904,0.9900945,0.9871865,0.987009,0.9913375,0.98957
2021,7,27,0.989984,0.9898405,0.9906495,0.9912135,0.990004,0.990587,0.990954,0.9901435,0.9916485,0.99158,0.990811,0.9909555,0.98239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987846,0.980725,0.9805245,0.9806485,0.987733,0.985057,0.986986,0.986549,0.986818,0.988018,0.987911,0.987099,0
2021,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985962,0.9867145,0.9863235,0.986312,0.9863005,0.9862875,0.986227,0.9865885,0.18100375,0.18103055,0,0,0
2021,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9833575,0.984892,0.9839245,0.9844915,0.983845,0.985855,0.985157,0.9851155,0.2413708,0.2411866,0,0,0
2021,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9845485,0.9837675,0.9848455,0.984428,0.983911,0.986603,0.9884575,0.9744435,0.9911195,0.9690325,0.983109,0.988081,0.984955,0.988234,0.7856625
2021,8,4,0.7849945,0.7863635,0.7866835,0.7855665,0.7886415,0.7867525,0.786739,0.7875155,0.785172,0.7855775,0.7845615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9909145,0.9683245,0.979564,0.974702,0,0,0,0,0,0,0
2021,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,6,0,0.983508,0.9899535,0.9860005,0.989642,0.9878285,0.989408,0.988523,0.989742,0.989345,0.9897095,0.8737255,0.8882635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9914875,0.9713515,1.00488,0.978182,0.9854715,0.9883875,0.986378,0.989672,0.9879145,0.989541,0.9888725,0.989642,0.990112
2021,8,7,0.989233,0.989687,0.9900945,0.990009,0.990403,0.990675,0.990255,0.9907605,0.990342,0.990517,0.9912495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9825155,0.984826,0.9839095,0.9883535,0.9909035,0.972735,0.986131,0.9869835,0.9866875,0.98908,0.9876975,0.98974,0.9884955,0.990404,0.989904,0.989129,0.9893615
2021,8,8,0.9902005,0.9910095,0.989774,0.989719,0.99201,0.991471,0.990696,0.990257,0.992085,0.9908795,0.989339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9801795,0.988732,0.9957645,0.9807295,0.9856055,0.9896075,0.98636,0.9901475,0.9887745,0.9891635,0.989067,0.989052,0.98828,0.990561,0.951516
2021,8,9,0.9540595,0.95363,0.952189,0.9535035,0.952028,0.95269,0.9526565,0.952047,0.9531075,0.952532,0.9118245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9855295,0.986323,0.98578,0.986919,0.985397,0.98795,0.9872915,0.9861965,0.991355,0.9703935,0.9722445
2021,8,11,0.992049,0.9895515,0.9851935,0.98636,0.986715,0.986528,0.98687,0.9856755,0.9856575,0.989193,0.9723085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280712,0.2809269,0
2021,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986097,0.9834915,0.985556,0.9810915,0.9913125,0.9672075,0.9895885
2021,8,13,0.981904,0.985358,0.9874235,0.9860555,0.986038,0.9867585,0.9875025,0.987252,0.989725,0.98825,0.9893565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00017,0.9508705,0.9778345,0.987445,0.9846365,0.9881565,0.991268,0.9710545,0.9789015,0.986013,0.9800365,0.980024,0.9855655,0.9860845,0.983734,0.979112,0
2021,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9842,0.984969,0.984717,0.9850775,0.984923,0.9845245,0,0,0,0,0,0,0
2021,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984848,0.9845905,0.98338,0.984611,0.98406,0.9845205,0.5480885,0.547402,0,0,0,0,0
2021,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,17,0,0.988773,0.989992,0.989592,0.9899675,0.9893075,0.9904535,0.989553,0.9906605,0.9858305,0.9902505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9873635,0.9781975,0.9859755,0.987419,0.986327,0.987045,0.9867125,0.9867045,0.9856795,0.985665,0.9895865,0.9832075,0.842043
2021,8,19,0.8437365,0.8430325,0.8433795,0.841298,0.843634,0.841672,0.8433245,0.842523,0.842831,0.842993,0.841979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9849135,0.984899,0.9848965,0.9857085,0.985354,0.986127,0.985409,0.985137,0.9868435,0.9860965,0.98836,0.9833065,0,0,0
2021,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781477,0.7817725,0.787665,0.7876425,0.782482,0.7818335,0,0,0,0,0,0,0
2021,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982641,0.987736,0.9906825,0.9660585,0.982787,0.9823875,0.9851285,0.986726,0.985519,0.987034,0.6460965,0.6453395,0
2021,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8268555,0.8271565,0.827129,0.8270985,0.827325,0.826926,0.827068,0.8263895,0,0,0,0,0,0,0
