Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9684705,0.9913795,0.979932,0.9821785,0.981194,0.9811685,0.978681,0.9819005,0.982036,0.9797895,0.9814405,0.981414,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5464725,0.54712,0.545697,0.548374,0.547105,0.5473285,0,0,0,0,0,0,0
2021,7,4,0,0.1783684,0.17836735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003642,0.976108,0.98539,0.98739,0.984495,0.989847,0.98538,0.9899065,0.988381,0.987816,0.9854685,0.989686,0.9894305
2021,7,7,0.988135,0.9857625,0.9918545,0.990531,0.9876045,0.9866655,0.9915725,0.989944,0.987774,0.9903435,0.9878485,0.29259475,0.2934304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998647,0.9741465,0.985425,0.987111,0.986121,0.9885015,0.987809,0.9862185,0.9877165,0.9843375,0.9848365
2021,7,9,0.987756,0.9852565,0.9883745,0.987126,0.989516,0.987796,0.9901835,0.989408,0.9885175,0.989305,0.987699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9849875,0.9858135,0.985308,0.9852995,0.984868,0.986097,0.985146,0.986343,0.985666,0.986433,0.9864905,0.9861,0.9864095
