Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2021,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49271375,0.493268,0.966939,0.9628245,0.9713605,0.97263775,0.976475,0.97291975,0,0,0,0,0,0,0
2021,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17005755,0.170129325,0.16902685,0.168684325,0.16925465,0.169892275,0,0,0,0,0,0,0
2021,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9838605,0.98680325,0.9780145,0.98837,0.97889,0.98793175,0.98375325,0.9852195,0.98402125,0.988635,0.9925405,0.981443,0.81706875,0.81821825,0.190402525
2021,7,4,0.190728275,0.13097785,0.13116885,0.0895161,0.08951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493073,0.49306375,0.49301725,0.49321625,0.49320425,0.49319025,0.488623,0.48879975,0,0,0,0,0
2021,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4744385,0.47422575,0.476566,0.47885075,0.48169025,0.4816625,0.48260925
2021,7,6,0.48518875,0.48404725,0.4842355,0.4822555,0.48249725,0.48393825,0.48395725,0.4833905,0.48439125,0.48349275,0.4848115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49275,0.4938895,0.49349,0.491188,0.987533,0.98392275,0.9868715,0.98767075,0.9860975,0.99085375,0.98878525,0.98941275,0.9890655
2021,7,7,0.990081,0.99016675,0.98990425,0.9903715,0.99053725,0.989729,0.9872125,0.99036525,0.98534675,0.989913,0.985147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490228,0.494097,0.99415325,0.973388,0.98550275,0.9876975,0.98764525,0.98761375,0.9879945,0.98719175,0.98693875,0.989128,0.98860025,0.98752975,0.86102825
2021,7,8,0.86148375,0.86095675,0.862788,0.861868,0.863204,0.86262875,0.86324525,0.86294625,0.86311,0.8628425,0.8247495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49142775,0.494917,0.495269,0.4896145,0.98497225,0.9882625,0.98678325,0.989709,0.9886995,0.9890745,0.98828825,0.99037975,0.494816,0.4952305,0.49435375
2021,7,9,0.49598575,0.49443675,0.49654025,0.49567575,0.49566525,0.495496,0.4958655,0.49049425,0.48872875,0.49272075,0.48895725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49321075,0.49341975,0.49376525,0.4943905,0.913543,0.90981525,0.91005275,0.9044425,0.90615925,0.90740475,0.484538
2021,7,10,0.48472725,0.48413825,0.48454225,0.48529025,0.483093,0.4832995,0.48511375,0.48483425,0.4832755,0.484081,0.4834905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98448,0.9856235,0.98485925,0.985195,0.98502175,0.985,0.98503575,0.984824,0.49258825,0.49236575,0.49249425,0.49229275,0.492378,0.49235675,0.15944885
